sentence1;sentence2;accuracy;fluency;diversity
Rusijo zastopa 11 nogometnih ekip iz 11 ruskih mest, ki bodo gostila tekme svetovnega prvenstva 2018.;Rusijo bo zastopalo 11 nogometnih ekip iz 11 ruskih mest, ki bodo odigrale tekme na svetovnem prvenstvu v nogometu 2018.;;;
"Če v mojih dveh pismih najdeš vsaj eno nekulturno misel, razen besede ""preklet"", ti kapo dol.";"Če v mojih dveh pismih, razen besede ""preklet"", najdete vsaj eno neokusno misel, potem klobuk dol pred vami.";;;
Te vrzeli so bile sčasoma zapolnjene, ko so kemiki odkrili nove elemente, ki jih najdemo v naravi.;Te vrzeli so bile sčasoma zapolnjene, ko so kemiki odkrili nove elemente v naravi.;;;
Eksperimentirajo tudi z materiali, saj menijo, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njihovih zahtevnih meril za končni izdelek.;Eksperimentirata tudi z materiali, saj menita, da zgolj oblika brez resničnega vsebinskega bogastva ne izpolnjuje njunih zahtevnih meril za končni izdelek.;;;
Japonski številski sistem je sistem številskih imen, ki se uporablja v japonskem jeziku.;Sistem japonskih številk je sistem imen števil, ki se ga uporablja v japonskem jeziku.;;;
Njeni starši so se ločili kmalu po njenem rojstvu.;Starša sta se kmalu po njenem rojstvu ločila.;;;
IMI omogoča javnim organom na nacionalni, regionalni in lokalni ravni, da poiščejo in izmenjajo informacije s svojimi kolegi v drugih državah.;IMI omogoča javnim organom na državni, regionalni in lokalni ravni, da poiščejo sorodne organe v drugih državah in z njimi izmenjajo informacije.;;;
Pogodba tudi določa, da se lahko Evropski parlament posvetuje z Odborom.;Pogodba Evropskemu parlamentu omogoča tudi posvetovanje z Odborom.;;;
Ker je stolp veljal za nepremagljivo trdnjavo na strateško zelo pomembnem mestu, je bil zelo dragocena lastnina.;Ker je stolp veljal za nepremagljivo trdnjavo na strateško zelo pomembni lokaciji, je bil zelo dragocena lastnina.;;;
Drugi ukrepi vključujejo boljši dostop do sanitarij, kot sta uporaba funkcionalnih in čistih stranišč ter dostop do čiste vode.;Drugi ukrepi vključujejo izboljšan dostop do sanitarij, recimo uporaba funkcionalnih in čistih stranišč ter dostop do čiste vode.;;;
Po smrti prve žene leta 1742se je poročil s Španko Anastasio Maxarti Ximenes.;Po smrti svoje prve žene leta 1742 se je poročil z Anastazijo Maxarti Ximenes iz Španije.;;;
Brehmovo predstavitveno pismo Josephu Nattererju mu je zagotovilo službo v Prirodoslovnem muzeju.;Predstavitveno pismo, ki ga je Brehm poslal Josephu Nattererju, mu je zagotovilo delovno mesto v naravoslovnem muzeju.;;;
Hubblov vesoljski teleskop zaradi varnostnih postopkov, ki mu preprečujejo, da bi se usmeril preblizu Soncu, Merkurja sploh ne more opazovati.;Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih ukrepov, ki mu preprečujejo, da bi se preveč približal Soncu.;;;
Aprila 175 se je guverner Sirije Avidij Kasij po širjenju govoric, da je Mark Avrelij umrl, razglasil za rimskega cesarja.;Aprila 175 se je Avidij Kasij, guverner Sirije, razglasil za rimskega cesarja, potem ko so se razširile govorice, da je umrl Mark Avrelij.;;;
Zveza NATO je uvedla sarin kot standardno kemično orožje, tako Sovjetska zveza kot Združene države Amerike so proizvajale sarin za vojaške namene.;Nato je uvedel sarin kot standardno kemično orožje, Sovjetska zveza in Združene države pa so sarin proizvajale v vojaške namene.;;;
Zdravljenje v tej fazi le omejuje napredovanje bolezni, vendar ima omejen učinek na že nastale poškodbe.;Zdravljenje na tej stopnji zgolj omeji napredovanje bolezni, vendar ima omejen vpliv na okvare, do katerih je že prišlo.;;;
"Inštitut je razdeljen na štiri šole: zgodovinske študije, matematiko, naravoslovje in družboslovje; ima tudi program teoretične biologije.";"Inštitut je razdeljen na štiri šole: zgodovinske študije, matematiko, naravoslovne ter družboslovne vede; ima tudi program s področja teoretične biologije.";;;
Po vseh razpoložljivih virih je umrl v 59. letu starosti.;Glede na vse razpoložljive vire je umrl v 59. letu vladanja.;;;
Odrasli osebki lahko brez hrane preživijo do enega leta.;Brez hrane lahko odrasel osebek preživi tudi eno leto.;;;
DJ Magazine je mesečna britanska revija, posvečena elektronski plesni glasbi in DJ-em.;DJ Magazine je britanska mesečna revija, posvečena elektronski plesni glasbi in didžejem.;;;
Pljučni tumorji so običajno vidni na rentgenskem posnetku prsnega koša, vendar je za potrditev diagnoze pogosto potrebna računalniška tomografija prsnega koša.;Pljučne mase so običajno vidne na rentgenskem posnetku prsnega koša, vendar je za potrditev diagnoze pogosto potrebna računalniška tomografija prsnega koša.;;;
Hitler je odobril uporabo španskih prostovoljcev.;Hitler je dovolil uporabo španskih prostovoljcev.;;;
Sicer pa sta tudi letos v seriji znamenitih osebnosti izšli dve znamki, posvečeni stotima obletnicama rojstva Edvarda Kocbeka in Srečka Kosovela, izid znamke v počastitev slednjega je morala primorska javnost dobesedno izsiliti.;Letos sta bili v seriji znanih osebnosti izdani tudi dve znamki ob stoletnici rojstva Edvarda Kocbeka in Srečka Kosovela, čeprav je morala javnost obalne regije izdajo znamke v spomin na slednjega dobesedno izsiliti.;;;
Enkrat na teden se meso peče na žaru.;Meso se peče na žaru enkrat na teden.;;;
Prisluhne lahko sporočilom med Alice in Bobom, vendar jih ne more spremeniti.;Prisluhne lahko sporočilom med Alice in Bobom, vendar jih ne more spreminjati.;;;
Očitkarja, ki sta si imela o svojih lovcih v glavi nekaj čudnih misli, sta si imela veliko za povedati.;Obrekovalca, ki sta si imela v glavi čudne misli o svojih lovcih, sta si imela veliko za povedati.;;;
Država je bila na robu bankrota.;Država je bila tik pred bankrotom.;;;
Navdušeni boste nad svojimi idejami, zato vas čaka veliko dela.;Nad vašimi idejami bodo navdušeni, zato je pred vami veliko dela.;;;
Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih ukrepov, ki mu preprečujejo, da bi se preveč približal Soncu.;Vesoljski teleskop Hubble Merkurja sploh ne more opazovati zaradi varnostnih postopkov, ki preprečujejo, da bi se usmeril preblizu Sonca.;;;
Imam le sedemnajst let, res je, da imam že 13 let delovne dobe na tem področju, vendar zapojem le tisto, kar mi leži, in skladbe, ki so primerne mojim glasovnim sposobnostim!;Stara sem šele 17 let in res je, da imam na tem področju že 13 let izkušenj, vendar prepevam le tisto, kar mi ustreza, in pesmi, ki ustrezajo mojim glasovnim sposobnostim!;;;
Prvo izmed obeh vesoljskih plovil, ki je obiskalo planet, je bilo Mariner 10, ki je v letih 1974 in 1975 kartiral od 40 % do 45 % površja.;Prva od dveh vesoljskih sond, ki sta obiskali planet, je bila Mariner 10, ki je v letih 1974 in 1975 posnela od 40 do 45 % površja planeta.;;;
"Če ste mu všeč, če čuti tako kot vi, potem lahko te ""prijateljice"" trepljajo s trepalnicami, lahko napišejo trideset romanov o tem, kako vama ni usojeno biti skupaj, lahko pišejo Združenim narodom, da so zanj primernejše, pa ga to niti malo ne bo motilo.";Če si mu všeč, če čuti tako, kot se tebi zdi, potem se lahko tiste »prijateljice« postavijo na trepalnice, lahko napišejo trideset romanov o tem, kako vidva nista za skupaj, lahko pišejo v Združene narode, da so one bolj primerne zanj, ga to ne bo prav nič motilo.;;;
Pravi, da je žalostno, če sta tvoji najboljši prijateljici dosti bolj suhi od tebe, tragično pa je, če je bolj suha tudi tvoja mačeha.;Pravi, da je žalostno, če so tvoji najboljši prijatelji veliko bolj vitki od tebe, a tragično, če je tudi tvoja mačeha bolj vitka.;;;
Kot športnica, skakalka v višino s palico, skrbi, da je raznoliko hrano.;Kot skakalka s palico poskrbi za raznoliko hrano.;;;
Simptomi se običajno izboljšajo v dveh dneh, lahko pa trajajo do sedem dni.;Simptomi običajno izzvenijo v dveh dneh, lahko pa trajajo tudi do sedem dni.;;;
Celovit nabor opazljivih lastnosti, ki tvorijo zgradbo in vedenje organizma, se imenuje fenotip.;Skupek opaznih značilnosti, ki sestavljajo strukturo in vedenje organizma, se imenuje fenotip.;;;
Ne le, da kaki krepi imunski sistem, odličen je tudi za razstrupljanje organizma, poživitev, zniževanje visoke temperature, prav tako pa pomaga tudi pri prebavi in koristno vpliva na ledvica, jetra, oči, kožo, lase, dlesni, zobe in kosti.;Kaki ne le krepi imunski sistem, ampak je odličen tudi za razstrupljanje telesa, revitalizacijo, zniževanje povišane telesne temperature, pomoč pri prebavi ter blagodejno vpliva na ledvice, jetra, oči, kožo, lase, dlesni, zobe in kosti.;;;
V stiku z ognjem litijeve spojine oddajajo intenzivno, karminsko rdečo barvo, ko pa močno zagori, postane plamen bleščeče srebrn.;Litijeve spojine imajo ob stiku z ognjem intenzivno škrlatno barvo, ko pa močno gorijo, se plamen obarva srebrno.;;;
Bal sem se, da je predsednik redkobeseden in da bom moral pripraviti vsaj sto vprašanj, če bom hotel končati prvo uro najinega pogovora.;Bal sem se, da je predsednik redkobeseden in da si moram vnaprej pripraviti vsaj sto vprašanj, če želim končati prvo uro najinega pogovora.;;;
To je podpiral Andrew Carnegie, ki je izrecno za orkester zgradil dvorano Carnegie Hall (odprli so jo leta 1891).;To je podprl Andrew Carnegie, ki je posebej za orkester zgradil dvorano Carnegie Hall (odprta je bila leta 1891).;;;
Večina organizmov kot genetski material uporablja DNK, številni virusi pa RNK.;Večina organizmov za genski material uporablja DNK, številni virusi pa RNK.;;;
Od takrat je Akureyri rasel zaradi odličnih pristaniških razmer in morda še bolj zaradi rodovitne pokrajine v okolici mesta.;Od takrat se je Akureyri razvil zaradi odličnih pristaniških razmer in morda še bolj zaradi rodovitne pokrajine okoli njega.;;;
Sveto pismo je največkrat prevedena knjiga na svetu.;Sveto pismo je najbolj prevajana knjiga na svetu.;;;
Kraljeva družina se je vrnila iz palače Vila Viçosa v Lizbono.;Kraljeva družina se iz palače Vila Viçosa vrne v Lizbono.;;;
Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že znova izgubil.;Vera je samozavedanje in samozavest človeka, ki se še ni našel ali pa se je že izgubil.;;;
Glavno mesto je kronsko mesto Oviedo.;Prestolnica je mesto Coronel Oviedo.;;;
"(Presenečeno rečeš: ""Huh?"") ""Ne poznaš me, ime mi je Dorothy, a o tebi vem precej.";"(Začudena izustiva ""A?"") ""Ne poznata me moje ime je Dorothy, jaz pa o vama vem kar precej.";;;
Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo vladavino nad temi ozemlji.;Tri leta pozneje se je Justinijan počutil dovolj močnega, da je napadel Bolgarijo in poskušal ponovno vzpostaviti svojo oblast nad temi ozemlji.;;;
Njuna poroka je razkrila, da Wollstonecraftova ni bila nikoli poročena z Imlayem, zaradi česar sta z Godwinom izgubila veliko prijateljev.;Njuna poroka je razkrila, da Wollstonecraftova ni bila nikoli poročena z Imlayem, zaradi česar sta z Godwinom izgubila številne prijatelje.;;;
Vzhodna in krščanska miselnost pa pojmuje srečo v smeri kvalitete, duhovno, in zato jo isti s smislom življenja.;Vzhodna in krščanska misel pa srečo razume v kakovostnem, duhovnem smislu in jo zato enači s smislom življenja.;;;
Izobraženi grški sužnji so bili v Rimu zelo iskani, zlasti zdravniki in učitelji, izobraženi moški pa so bili pomembno izvozno blago.;Izobraženi grški sužnji so bili v Rimu zelo iskani, še posebej zdravniki in učitelji, in izobraženi moški so predstavljali pomembno izvozno blago.;;;
OR lahko oblikuje mnenje tudi na lastno pobudo, kar mu omogoča, da na dnevni red EU uvršča točke.;OR lahko oblikuje mnenje tudi na lastno pobudo, kar mu omogoča, da vprašanja uvrsti na dnevni red EU.;;;
V Všetinu so se bolj ali manj že sprijaznili z zadnjim mestom, zato niti ne čudi poteza vodstva, ki je pustilo dvema najboljšima hokejistoma odhod v Rusijo.;V Višinu so se bolj ali manj sprijaznili z zadnjim mestom, zato ni presenetljivo, da je vodstvo v Rusijo spustilo dva najboljša hokejista.;;;
Ne manjka na nobenem družabnem dogodku, kjer je.;Ne manjka na prav nobeni družabni prireditvi, kjer se je.;;;
Ko je Ramsay iskal argon, mu je med segrevanjem minerala levita prvič uspelo izolirati tudi helij.;V iskanju argona je Ramsayju s segrevanjem minerala levita prvič uspelo izolirati tudi helij.;;;
Preiskali so 40.000 ljudi, od tega so odpustili več kot 2.200 državnih uslužbencev in 4.000 policistov.;"Preiskali so 40.000 ljudi; izmed teh je bilo odpuščenih več kot 2200 vladnih uslužbencev in 4000 policistov.";;;
Ko pristojni organ potrebuje informacije od sorodnega organa v drugi državi, lahko pošlje zahtevek za informacijo.;Če pristojni organ potrebuje informacije od sorodnega organa v drugi državi, lahko predloži zahtevo za informacije.;;;
Človek je genetsko lovec, kar pomeni, da je lovec takrat, ko nekaj ujame.;Ljudje so genetsko lovci, kar pomeni, da so lovci, ko nekaj ujamejo.;;;
S partnerjem bosta skupaj preživela nekaj ur, kar bo blagodejno za dušo in telo.;S partnerjem bosta skupaj preživela nekaj ur, kar bo pravi balzam za dušo in telo.;;;
Če ugotovite, da je šlo za nesporazum in da je bila težava le v različnih pričakovanjih, bo že to pozitivno vplivalo na vajino razmerje.;Če ugotovite, da gre za nesporazum in da je težava le posledica različnih pričakovanj, bo to pozitivno vplivalo na vajino razmerje.;;;
Objavil je več katalogov muzejskih zbirk, vključno z izčrpnimi razpravami o živalskih skupinah in opisi novih vrst.;Objavil je več katalogov muzejskih zbirk, ki so vključevali celovite razprave o skupinah živali in opise novih vrst.;;;
Vse svoje zaupanje bom položil vate.;Tik pred tem sem, da bom ob vso vero vate.;;;
Za zgodnjo fazo okužbe je značilen neboleč nodul ali oteklina.;Za zgodnjo fazo okužbe je značilen neboleč vozlič ali oteklina.;;;
Ta izid je pomagal tudi dvema Slovenkama, Špeli Rajh in Neni Vukasovič, da sta se kot srečni poraženki uvrstili v prvi krog.;Takšen razplet je pomagal tudi dvema Slovenkama Špeli Rajh in Neni Vukasovič, ki sta se kot srečni poraženki prebili v prvi krog.;;;
Pljučnica, za katero se domneva, da jo povzročajo bakterije, se zdravi z antibiotiki.;Pljučnico, ki naj bi jo povzročale bakterije, zdravimo z antibiotiki.;;;
Francoski križarji so se sestali v Étampesu, da se dogovorijo za itinerar pohoda.;Francoski križarji se sestanejo v Étampesu, da bi se dogovorili o načrtu pohoda.;;;
Opozorili so, da je Zakon o samoupravi temelj celotnega družbenega reda v Jugoslaviji.;Ugotovili so, da je zakon o samoupravljanju temelj celotnega družbenega reda v Jugoslaviji.;;;
Najmlajši sin Henry je prejel denar.;Najmlajši sin, Henrik, je dobil denar.;;;
Regionalni internetni register (RIR) je organizacija, ki upravlja dodeljevanje in registracijo internetnih številk v določenih regijah sveta.;Regionalni internetni register (RIR) je organizacija, ki upravlja dodeljevanje in registracijo internetnih številskih virov v določenih regijah sveta.;;;
Rusi bodo v Kazanu gostili Egipčane, vse, razen dveh njihovih zmag brez izgubljenega niza pa bi bilo veliko presenečenje.;Rusi v Kazanu gostujejo pri Egipčanih in vse, kar bi bilo drugače kot dve zmagi brez poraza, bi bilo veliko presenečenje.;;;
Številni Evropejci so jih izkoristili za raziskovanje vzhoda.;Številni Evropejci so z njim raziskovali Vzhod.;;;
V nekaterih državah se priporoča rutinsko cepljenje otrok in oseb z večjim tveganjem, ki še niso bile cepljene.;V nekaterih državah ga rutinsko priporočajo otrokom in osebam s povečanim tveganjem, ki še niso bile cepljene.;;;
Protiprimer je v logiki in še posebej v njeni uporabi v matematiki in filozofiji izjema od predlaganega splošnega pravila ali zakona.;Protiprimer je izjema od predlaganega splošnega pravila ali zakona v logiki in zlasti pri njeni uporabi v matematiki in filozofiji.;;;
Željan je krvi.;Začuti žejo po krvi.;;;
Urbanost in družbena struktura vzhodnega Londona sta tesno povezani z njunim delom in ostajata prevladujoč navdih pri njunem delu.;Urbanost in socialna struktura vzhodnega Londona sta z njunimi deli tesno povezana in ostajata prevladujoč navdih pri njunem ustvarjanju.;;;
Kot vodja uprave OR generalni sekretar ne sme biti nosilec političnega mandata.;Generalni sekretar kot vodja izvršilne veje Sveta guvernerjev ne sme imeti političnega mandata.;;;
Premiera je bila 14. decembra 1918 v Metropolitanski operi v New Yorku.;Prvič je bila izvedena 14. decembra 1918 v Metropolitanski operi v New Yorku.;;;
