sentence1;sentence2;accuracy;fluency;diversity
Veliko se mi mota po glavi.;Veliko se mi moti po glavi.;4;2;2
Opazoval si me vsak trenutek.;Nadzoroval si me vsako minuto.;2;2;4
Kako to, da ti ni pomembno, kat te bo vlak odpeljal?;Kako to, da ti ni pomembno, kam te bo vlak odpeljal?;2;1;2
Vedel sem, da govoriš naš jezik.;Vedel sem, da znaš angleško.;2;3;3
Kaj bi delala, če bi prišla ven?;In kaj bi storila, če bi prišla ven?;3;3;3
Samo eno mesto obstaja, kamor bi ga odpeljali.;Samo en kraj je, kamor bi ga odpeljali.;5;4;3
Torej, greste na trajekt?;Torej, boste odšli s trajektom?;3;4;4
Tukaj nimaš pravice govoriti!;Tu nimaš pravice govoriti.;5;3;2
Zarezali bodo v moje možgane.;Rezali mi bodo v možgane.;5;4;4
"Takega ""frisa"" ne pozabiš.";Takega obraza ne pozabiš.;5;2;3
Kaj pa zdaj?;Kaj pa to?;2;3;2
Po skupinski terapiji sem jo pripeljal nazaj sem in jo zaklenil.;Pripeljal sem jo sem po skupinski terapiji in zaklenil.;4;1;3
Izvajal sem neke eksperimente.;Izvajal sem neke poizkuse.;3;3;3
Če niste bili v areni, si lahko predstavo ogledate tu.;Če niste bili v areni, lahko vidite predstavo tukaj.;4;3;2
Znova si dokazal svoje junaštvo, Maksim.;Znova si dokazal svojo hrabrost, Maksim.;4;5;3
Zelenjavnik, ki podnevi dehti po zeliščih, zvečer pa po jasminu.;Zelenjavnik, ki podnevi dehti po zeliščih, zvečer po jasminu.;5;4;1
In ... nisem prepričana, da nam bo všeč, kar bomo našli.;Nisem prepričana, da nam bo všeč, kar bomo našli.;4;4;1
Žaluj z mano, brat.;Žaluj z menoj, brat.;5;4;2
To je zelo nevarno!;To je nevarno.;3;4;2
Ne več, če ne zmore, ampak noče.;Ne vem če zmore, ampak vem, da noče.;3;4;5
Utegnete potonete v globlje stanje sna.;Potonete lahko v globlje stanje sanj.;4;1;4
Kaj pa zdaj?;Pa zdaj?;5;4;4
-Zadosti preprosta.;-Dovolj preprosta.;5;4;3
36 do 48 ur je potrebnih, da nevroleptični narkotiki... dosežejo uporabni nivo v krvnem obtoku.;36 do 48 ur traja, da nevroleptični narkotik v krvi doseže primeren nivo.;4;4;4
Zato me pustite na miru.;Zato me pustite pri miru.;5;4;2
Ne pozabi na fazno integracija, srednji gumb.;Ne pozabi fazne integracije.;2;2;4
Drugič pripelji še kaj prijateljev.;In pripelji še prijatelje.;3;3;4
Andrew Laeddis je prižgal vžigalico... ki je zanetila požar, ki je ubil mojo ženo.;Andrew Laeddis je prižgal vžigalico, ki je povzročila požar, zaradi katerega je umrla moja žena.;5;4;4
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.;Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.;5;2;2
Prodal si mi jalove žirafe.;Prodal si mi slabe žirafe.;5;4;2
Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.;Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z osnovnimi zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.;5;4;1
In kaj naj bi to pravzaprav bilo?;In kaj naj bi to bilo?;4;3;2
Se je zgodilo kaj nenavadnega?;Se je zgodilo kaj neobičajnega?;5;5;3
Prijazen študent.;Prijeten študent.;4;4;1
Kaj si imel v glavi?;Kaj ti je šlo po glavi?;5;4;4
Ste uživali v poslednjem božjem daru?;Ste uživali v zadnjem Božjem darilu?;5;4;2
G. Breen, nekaj vprašanj vam morava postaviti, razumete?;G. Breen, postaviti vam morava nekaj vprašanj, prav?;5;5;4
Do sedaj še nisva slišala ničesar, kar bi bilo res, Chuck.;Niti enkrat nisva slišala resnice, Chuck.;5;5;4
Sodo z ledom prosim.;-Mineralno vodo z ledom, prosim.;5;4;4
Nadeni mu oklep.;Pritrdi mu oklep.;3;4;4
Kmalu bo star osem let.;Kmalu bo dopolnil osem let.;5;5;3
Uporabila je praktično iste besede kot Cawley in medicinska sestra.;Uporabila je iste besede kot Cawley in bolničarka.;4;3;3
Opraviti moramo še nekaj testov premikanja in refleksov.;Še nekaj testov motorike moramo opraviti.;4;4;5
Fige, jabolka, hruške.;Smokve, jabolka, hruške.;5;5;3
Boš ostala z mano?;Boš ostala z menoj?;5;5;3
Mogoče poznate pacienta po imenu Andrew Laeddis?;Ste kdaj spoznali pacienta po imenu Andrew Laeddis?;3;4;3
Sprehodi se.;Sprehodite se.;4;5;1
Za vse to si ti kriv, ne bi jim bilo treba umreti.;Ne bi jim bilo treba umreti.;1;4;2
Ti boš dobil bitko v Kartagini.;Ti dobiš bitko v Kartagini.;4;4;2
Ne občutiš, da je minilo šest let.;Ne zdi se kot šest let.;4;5;4
Ampak nekako niste našli časa, da bi ga pogledali.;A nekako še niste našli časa, da bi to pogledali.;3;4;4
Kje so moji prekleti... cigareti?;Kje so moje presnete cigarete?;4;4;4
Ali poznate pacienta z imenom Andrew Laeddis?;Ste kdaj spoznali pacienta po imenu Andrew Laeddis?;4;4;2
Nisem vedel, da bo drgnil svoj frdamani fris obnjo.;Nisem vedel, da bo drgnil svojo prekleto glavo ob njo.;4;2;3
Jaz sem samo še en bedak, ki gre nekam, kjer bo to obžaloval.;Jaz sem samo pešak, ki gre nekam, kamor si ne želi.;4;4;4
Umrla bi za kak vzorec.;Vse bi dala za nekaj vzorcev.;3;5;5
In ne bo ti všeč.;Ne bo ti všeč.;2;4;2
Hčere nosijo vodo iz reke.;Moje hčere nosijo vodo iz reke.;3;5;2
Tule ne voham pogodbe.;Tukaj ne voham pogodbe.;5;5;2
Zgleda, da je imel dolg pogovor s paranoidnim shizofrenikom, Georgom Noycem.;Dolgo se je pogovarjal s paranoidnim shizofrenikom, Georgeom Noycem.;4;4;3
Brat, prosim, ne napadajte ljudi iz nebes.;Brat, ne napadaj ljudi z neba.;4;4;4
-Pa še pri pameti te bo ohranilo naslednjih šest let.;Pa še pri pameti te bo ohranilo prihodnjih šest let.;5;5;2
Tvoja krivda jo definira.;Tvoja krivda jo označuje.;4;4;2
Dobrodošli v tabor.;Dobrodošli v taboru.;5;5;1
Njene rane so bile prehude.;Rane so bile prehude.;4;5;2
Oddelek B, ženski oddelek je na vaši levi strani.;Oddelek B je ženski oddelek, to je stavba na vajini levi.;3;4;3
To je bistvo težav, kajne?;To je srž težave, mar ne?;4;4;4
Ej ti,kaj je bil to za en vrag?;Ej ti, kaj je bil to za en vrag?;5;5;1
Življenje vojaka je preprosteje.;Življenje vojščaka je bolj preprosto.;5;5;1
Ko sem prišel ven, sem na tleh zagledal trupla.;Ko sem šel ven, sem na tleh videl trupla.;5;3;2
Je kdo od vas bil v vojski?;Je že kdo bil v vojski?;4;4;3
Kot da bi bil tam zunaj resničen svet, to tukaj pa samo sanje.;Kot da je tam zunaj resnični svet, to tukaj pa sanje.;4;4;3
Več kot nagačena plišasta živalca bo treba, da ta otroka prepriča, da še imata očeta.;Več kot nagačena plišasta živalca bo potrebna, da se otroka prepričata, da še imata očeta.;4;4;3
Glej vse to sveže meso.;Poglej to sveže meso.;4;3;4
Zato mi najdi korenček, ki jih bo spravil proč.;Najdi korenček, ki jih bo zvabil stran.;4;5;5
To moti moje naprave.;To moti moje instrumente.;5;4;4
Vsaka njegova zmaga je kljubovanje.;Vsaka njegova zmaga pomeni kljubovanje.;4;4;3
Samo Numidijec je vreden 2000.;Že Numidijec je vreden 2000.;5;4;3
Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.;Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.;3;4;4
Kakšnem partnerju?;Katerem partnerju?;3;3;3
Mogoče Cawley sedaj sedi v svoji graščini in razmišIja o svojem vedenju.;Mogoče Cawley sedi v svoji graščini in premišljuje o svojem obnašanju.;4;4;3
KDO JE 67?;KDO JE ŠTEVILKA 67?;4;4;3
Imenujemo ga veliki leonopteryx.;Naši mu rečejo veliki leonopteriks.;5;4;4
In jaz tebe.;Tudi jaz tebe.;4;4;4
"Jaz sem subjekt; moj um ga naseljuje.";Jaz sem predmet, moj um ga naseljuje.;3;3;2
A si dobro?;Si dobro?;3;2;1
Zdi se, da tokrat je.;Kot izgleda, tokrat je.;5;4;4
Nič vam ne pride na misel.;Vam nič ne pride na misel?;3;3;3
Prosim.. samo pusti da te držim.;Ne, prosim, moram te držati.;3;4;5
-Prišel si izpridit enega majih najbistrejših in najboljših.;-Prišel si izpridit, enega mojih najbistrejših in najboljših.;5;2;1
Sprosti se, marinec, delaš me živčno.;Živčno me delaš.;2;4;3
Veliko ime imaš.;Ugledno ime imaš.;4;4;2
A prej ali pozneje, na koncu se vedno zbudiš.;Toda prej ali slej se moraš zbuditi.;3;4;3
Če cel svet misli, da je Chuck mrtev, potem je idealen za njihove poskuse.;Če svet misli, da je Chuck mrtev, je popoln za njihove poskuse.;4;4;3
Naučena je bila.;Bila je naučena.;5;4;4
Če bomo ostali skupaj, bomo preživeli.;Če ostanemo skupaj, preživimo.;5;5;4
In vi pravite, da je morala iti tukaj mimo.;Pravite, da je morala iti tu skozi.;4;4;4
Kdo pa so, da mi pridigajo?;Kdo so oni, da predavajo meni?;4;4;4
Kako še ga izvajaš?;Kako ga še izvajaš?;3;1;2
Kako dolgo sta obtičal tam?;Kako dolgo sta obtičala tam?;4;1;1
Je legalno priseljevanje zločin, Marshal?;Je imigracija zločin, šerif?;4;3;3
Ja, je.;Ja, mislim da.;3;2;2
Boš pobijal otroke?;Boš pobil otroke?;2;2;1
Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.;Tak marinec bi lahko pridobil informacije na terenu.;4;4;4
Pri takem poslu ni prostora za turiste, gospod Saito.;Pri takšnem poslu ni prostora za turiste, gospod Saito.;4;3;2
Vse to sta rekonstruirala iz svojih spominov?;Vse to sta ponovno zgradila iz svojih spominov?;4;3;4
Ampak ta ženska mora tudi izbrati mene.;Ampak tudi ta ženska mora izbrati mene.;4;2;2
Pridobi jo na svojo stran in svoboden boš.;Pridobi ljudi na svojo stran, in postal boš svoboden.;2;3;3
Poročena sva za vse življenje.;Združena sva za vse življenje.;3;2;1
Ve, da imaš za sabo predano vojsko.;Ve, da imaš za sabo vdano vojsko.;4;3;2
Umrl bi za spomin na svoje prednike.;Umrl bi zaradi spomina na svoje prednike.;3;3;2
To verjetno ne pomeni nič dobrega.;To verjetno ni dobro.;4;4;4
Takoj mi pokaži svoj prekleti obraz!;Pokaži mi že svoj obraz!;3;4;4
Verjame v delo, ki ga opravljamo tukaj.;Verjame v naše delo.;4;5;3
Podstavimo eksploziv.;Nastavimo eksploziv.;3;3;2
Ker vem, kako močno to potrebuješ.;Ker vem, kako zelo jo potrebuješ.;3;4;3
Želel sem si le, da bi ti dorasel, cesar.;Želel sem si le, da bi ti bil dorasel, cesar.;4;3;1
Občutiš vrtoglavico ali slabost?;Čutiš kakšno odrevenelost ali bolečino?;4;4;5
Ni mogoče, da bi vedeli, da mi bo dodeljen ta primer.;Ni mogoče, da bi vedeli, da me bodo dodelili na ta primer.;4;4;3
Dobro veš, da se bom res.;Veš, da se bom.;4;4;4
Se je včeraj med skupinsko terapijo zgodilo kaj takega, kar je bilo bolj... recimo, bolj spomina vredno kot... -Normalno?;Se je med sinočnjo terapijo zgodilo kaj, kar je bilo bolj omembe vrednega od ... -Normalnega?;4;4;4
On ni na temu oddelku.;Ni ga na tem oddelku.;3;4;3
Izstopi na kakem drugem nadstropju in se ne ustavljaj.;Izstopi na kakšnem drugem nadstropju in se ne ustavljaj.;4;4;1
Si tja dol zahajal na lastno pest?;Si tja dol zahajal na sam?;3;1;2
Potrebovala bova te kartoteke.;Potrebovala bova kartoteke.;3;4;2
-Ja, a se je splačalo poskusiti.;-Ja, ampak izplačalo se je poizkusiti.;5;4;4
Človek hoče pred smrtjo vedeti, da je imelo njegovo življenje smisel.;Na smrtni postelji želi človek vedeti, da je imelo njegovo življenje smisel.;4;5;4
Toda ljudje so ga oboževali.;Ampak ljudje so ga oboževali.;4;4;2
Prave inspiracije ni možno poneveriti.;Pravega navdiha ni možno poneveriti.;5;4;3
Torej je dr. Shehan prišel danes zjutraj s trajektom.;Torej je dr. Sheehan prišel z jutranjim trajektom.;4;4;2
Kdaj bi lahko bili pripravljen na boj?;Kdaj bi lahko bili pripravljeni na boj?;4;5;1
In kateri šoli pripadate vi, doktor?;In katera šola ste vi, doktor?;5;4;3
Mojo glavo?;Z mojo glavo?;2;4;2
Nikoli ne boš član Naroda!;Nikoli ne boš eden od nas!;2;2;2
Dobro, Rachel Solando, mimo koga od vas je še morala iti, da je prišla sem dol?;Mimo koga bi še morala Rachel Solando, da bi prišla sem?;4;3;4
Kar povejo, nihče ne posluša.;Govorijo, a nihče jih ne posluša.;4;5;3
Odvedite ga dol.;Odpeljite ga dol.;5;4;2
