sentence1;sentence2;accuracy;fluency;diversity
Zavezništvo je bilo popolnoma neučinkovito, ko sta se njegovi članici Grčija in Turčija zapletli v spor zaradi turške okupacije Cipra.;Zavezništvo je bilo popolnoma neučinkovito, ko sta se njegovi članici Grčija in Turčija zapletli v spopade ob turški zasedbi Cipra.;;;
Če bo po pričakovanjih zasedla prestol, bo prva belgijska kraljica regentka.;Če bo po pričakovanjih zasedla prestol, bo postala prva belgijska kraljica regentka.;;;
V tem času so številni znanstveniki in raziskovalci pomembno prispevali k razvoju te teorije.;V tem obdobju so številni znanstveniki in raziskovalci pomembno prispevali k razvoju te teorije.;;;
Med služenjem v letalstvu je bil član odbora za preiskovanje letalskih nesreč.;Ko je bil pri letalskih silah, je bil član odbora za preiskovanje letalskih nesreč.;;;
Njegov oče je bil pravoslavni duhovnik in učitelj, njegova mati pa glasbenica.;Njegov oče je bil pravoslavni duhovnik in učitelj, mati pa glasbenica.;;;
Samo njun četrti otrok, Titus, ki se je rodil leta 1641, je preživel do odraslosti.;Le njun četrti otrok, Titus, rojen leta 1641, je preživel do odraslosti.;;;
Da bi zaslužili, je Nauru kratek čas deloval kot davčna oaza in center za pranje umazanega denarja.;Za zaslužek je Nauru kratek čas služil kot davčna oaza in center za pranje črnega denarja.;;;
Vprašanje: Leta 1978 ste se s sosedi dogovorili o pravici hoje in vožnje po njihovih zemljiščih v korist vaših dveh zemljišč.;Vprašanje: S sosedoma ste se v letu 1978 dogovorili za služnostno pravico voženj in hoje po njuni parceli v korist vaših dveh parcel.;;;
Woody je obupan - je neuspešen in živi urejeno, čisto in večinoma dolgočasno življenje v dekliški sobi z mačkom in sladko glasbo.;Woody je obupan – je kosmiče in živi organizirano, čisto in predvsem dolgočasno življenje v dekliški sobi z mucko in osladno glasbo.;;;
Prav tako se je dramatično spremenila gospodarska narava družbe.;Zelo se je spremenila tudi gospodarska narava družbe.;;;
S tem je imela v mislih državo z njenimi neposrednimi plačili kmetom ali izvoznimi spodbudami mlekarnam, vendar na cenovni ravni, kakršna je veljala za prvo četrtletje lanskega leta.;S tem je mislila na državo z neposrednimi plačili kmetom ali izvoznimi spodbudami za mlekarne, vendar na ravni cen, ki je veljala v prvem četrtletju lanskega leta.;;;
Takšno ravnanje je pri mnogih vzbudilo odpor, celo Periklov sin Ksantip, ki je imel politične ambicije, se ni obotavljal obrekovati očeta.;Ta odnos je pri mnogih zbujal zgražanje in celo Periklejev lastni sin, Ksantip, ki je imel politične ambicije, ni okleval obrekovati svojega očeta.;;;
Začelo se je z uvajanjem Willija v skrivnosti namiznega vedenja in s poskusi, da bi ga naučili uporabljati vilice in nož, ne da bi se poškodoval.;Začelo se je s tem, da so Willija seznanile s skrivnostmi obnašanja pri mizi in ga poskušale naučiti, kako se je z vilicami in nožem, ne da bi se poškodoval.;;;
Jabolka olupi in jih poje sam, majhne koščke pa nareže zanje.;Lupi jabolka in sam je olupke, njej pa reže krheljčke.;;;
Pogosto se ji mudi, vendar je počasneje, potem pa poje zelo malo in je hitro spet lačna.;Pogosto se zgodi, da se ji zelo mudi, ona pa bolj počasi je in takrat poje zelo malo in je hitro spet lačna.;;;
Od samega začetka se osredotočamo na tri področja: Narava, ekologija in gibanje.;Kot je povedala, že od začetka dajejo veliko pozornost trem področjem: naravi, ekologiji in gibanju.;;;
"Je gospa srednjih let, ki z eno nogo živi v Londonu (kjer dela kot dokumentaristka in magistrska profesorica), z drugo pa v rodni Estoniji - ""kot da vmes ni morja"", je pripomnila v torek pred projekcijo svojih dveh filmov na festivalu dokumentarnega filma v Cankarjevem domu.";Gre za gospo srednjih let, ki živi z eno nogo v Londonu (kjer dela kot dokumentaristka in profesorica magistrskega študija), z drugo pa v domači Estoniji – »kot da vmes sploh ne bi bilo morja«, je pripomnila v torek pred projekcijo njenih dveh filmov v okviru festivala dokumentarnega filma v Cankarjevem domu.;;;
Zadnji kralj, ki so ga kronali tukaj, je bil Ferdinand I. leta 1531.;Zadnji kralj, ki je bil tu okronan, je bil Ferdinand I. leta 1531.;;;
Na moji javni vprašanji glede problematike dveh veteranov invalidov, ki ju država meče na cesto, je hiter in pričakovan odgovor dal le generalni direktor policije Marjan Fank, za kar se mu na tem mestu ponovno iskreno zahvaljujem, saj kaže na profesionalnost in verodostojnost celotnega dela policije.;Na moja javna vprašanja v zvezi z dvema invalidnima veteranoma, ki ju je država spravila na cesto, je po pričakovanjih nemudoma odgovoril le generalni direktor policije Marjan Fank, za kar se mu še enkrat zahvaljujem, saj to kaže na strokovnost in verodostojnost celotnega dela policije.;;;
Razumite me in bodimo dobri starši Urošu, čeprav me ne bo več v hiši.;Razumi me in bodiva dobra starša Urošu, čeprav me ne bo več v hiši.;;;
Del tega gre pripisati robustnosti vozila in njegovi zanesljivosti, ki sta tudi rezultat dejstva, da vozilo sestavljajo na Poljskem.;To je deloma posledica robustnosti in zanesljivosti vozila, ki je tudi posledica dejstva, da je vozilo sestavljeno na Poljskem.;;;
Sama je vzgojila otroke.;Svoje otroke je vzgajala sama.;;;
Jemanje zdravil za zaviranje kisline, kot so zaviralci protonske črpalke ali blokatorji H2, je povezano s povečanim tveganjem za pljučnico.;Jemanje zdravil, ki zbijajo kislino – kot so zaviralci protonske črpalke ali zaviralci H2 –, je povezano s povečanim tveganjem za pljučnico.;;;
Njegove raziskave so trajno vplivale tako na teoretično fiziko kot na povsem matematična področja, vključno s teorijo števil.;Njegove raziskave so imele velik vpliv na teoretično fiziko kot tudi na povsem matematična področja, vključno s teorijo števil.;;;
Leta 1977 so Eagles odšli v studio in začeli pripravljati naslednji album The Long Run.;Leta 1977 so Eaglesi odšli v studio in začeli z delom na naslednjem albumu, The Long Run.;;;
V tej vlogi je predlagal pobratenje z Nueva Germania v Paragvaju.;V tej vlogi je predlagal pobratenje mesta z Nueva Germania v Paragvaju.;;;
Prebivalce so pobili, preživele pa prodali v suženjstvo.;Prebivalce so množično pobili, preživele pa prodali v sužnost.;;;
Fizikalna konstanta, znana kot Rydbergova konstanta, se imenuje po njem.;Po njem je poimenovana fizikalna konstanta, znana kot Rydbergova konstanta.;;;
Ko je njen oče podedoval naslov grof Spencer, je postala Lady Diana Spencer.;Ko je njen oče podedoval naslov grof Spencer, je postala lady Diana Spencer.;;;
Zdaj počaka, da se najprej najedo mucki, šele potem je on.;Zdaj počaka, da mačkoni jedo, in potem poje on.;;;
Prvotno je bil zasnovan za prevajanje med sorodnimi jeziki, pred kratkim pa je bil razširjen na bolj oddaljene jezikovne pare.;Izvorno je bil namenjen prevajanju med sorodnimi jeziki, vendar so ga nedavno razširili tudi na obravnavo bolj oddaljenih jezikovnih parov.;;;
Medtem ko zajtrkuje, že sanja o kosilu, in medtem ko pripravlja večerjo, razmišlja o tem, kakšno brezgrešno sladico bo pripravila pozneje.;Med zajtrkom že sanja o kosilu, med pripravljanjem večerje pa razmišlja o tem, katero sladico brez greha bo pripravila pozneje.;;;
Čeprav avtorji ne želijo razkriti vseh skrivnosti letala, na kratko pojasnijo, da je inovacija v njegovih krilih.;Čeprav vseh skrivnosti letala njegovi avtorji ne želijo razkriti, na kratko pojasnijo, da se inovativnost skriva v njegovih krilih.;;;
Olimpijsko geslo Citius, Altius, Fortius (Hitreje, višje, močneje) je bilo prvič slišati na olimpijskih igrah.;Olimpijsko geslo Citius, Altius, Fortius (hitreje, višje, močneje) je bilo prvič slišati na olimpijskih igrah.;;;
Irsko cestno omrežje je osredotočeno predvsem na Dublin.;Irsko cestno omrežje je večinoma osredotočeno na Dublin.;;;
Pokol na srednji šoli Columbine je streljanje v šoli, ki se je zgodilo 20. aprila 1999, in sicer na srednji šoli Columbine v ameriški zvezni državi Kolorado.;Pokol na srednji šoli Columbine je streljanje na šoli, ki se je zgodilo 20. aprila 1999 na srednji šoli Columbine v mestu Columbine v ameriški zvezni državi Kolorado.;;;
Družba Otis Elevator Company je največje svetovno podjetje za vertikalne transportne sisteme, zlasti dvigala in tekoče stopnice.;Otis Elevator Company je največje podjetje na svetu na področju sistemov vertikalnega transporta, predvsem dvigal in tekočih stopnic.;;;
Tri barve trakov naj bi simbolizirale solidarnost, mir in spokojnost, hrabrost in odločnost.;Tri barve trakov naj bi simbolizirale solidarnost, mir in spokojnost ter pogum in odločnost.;;;
Odpreš vrata fotokopirnice in presenečeno zavzdihneš - v njej strastno seksata dva tvoja sodelavca.;Odprete vrata fotokopirnice in se zgrozite: vaša sodelavca strastno seksata.;;;
Združenje Zares bo razpuščeno, na njegovih temeljih pa bo prihodnjo soboto zrasla politična stranka.;Združenje Zares bo razpuščeno, iz njega pa bo naslednjo soboto nastala politična stranka.;;;
Telmann je bil prva izbira za to mesto, vendar se je umaknil, ker si je v Hamburgu zagotovil višjo plačo.;Telmann je bil prva izbira za ta položaj, vendar se je po tem, ko si je v Hamburgu zagotovil višjo plačo, umaknil.;;;
Slavni Moravec se tokrat ni pustil preslepiti in je zasluženo zmagal z najdaljšima skokoma v obeh serijah.;Slavni Moravec se tokrat ni pustil motiti in je zasluženo zmagal z najdaljšima skokoma v obeh serijah.;;;
Ko so ga leta 1998 vprašali, kako je postal tako dober ostrostrelec, je Häyhä odvrnil: »Potrpežljivost.«;"Ko so Häyhäja leta 1998 vprašali, kako je postal tako dober strelec, je odgovoril: ""Potrpežljivost.""";;;
Pri osebah, ki potrebujejo hospitalizacijo, lahko umrljivost znaša do 10 %, pri obolelih, ki zahtevajo intenzivno nego, pa lahko doseže 30–50 %.;Smrtnost je lahko 10 % pri tistih, ki potrebujejo hospitalizacijo, in 30-50 % pri tistih, ki potrebujejo intenzivno nego.;;;
V zadnjih petih letih je agencija odobrila dodatne ponudbe delnic osmim podjetjem, trinajst javnih ponudb pa so izvedle banke.;V zadnjih petih letih je Agencija izdala dovoljenja za dodatne izdaje delnic osmim podjetjem, banke pa so izvedle trinajst javnih ponudb.;;;
Ciprčani niso bili preveč agresivni, niso drezali vame, saj so menili, da me ne zanima njihov projekt.;Ciprčani niso bili preveč agresivni, niso me zbadali, ker so mislili, da me njihov projekt ne zanima.;;;
Mislim, da imajo naše slavne stranke preprosto rade naše izdelke in vedo, da v naših trgovinah nihče nikoli ne razkrije, kdo je prišel in kaj je kupil.;Mislim, da imajo naše slavne stranke rade naše izdelke in vedo, da v naših trgovinah nihče ne bo vedel, kdo je prišel in kaj je kupil.;;;
Mednarodni dan maternega jezika se vsako leto 21. februarja praznuje po vsem svetu, da bi spodbudili večjezičnost ter ozaveščenost o jezikovni in kulturni raznolikosti.;Mednarodni dan maternega jezika je vsakoletni svetovni spominski dan, ki se ga obeležuje 21. februarja z namenom spodbuditi večjezičnost ter zavest o jezikovni in kulturni raznolikosti.;;;
"Ivan Prijatelj je v pismu prijatelju Župančiču z Dunaja izrazil navdušenje nad njegovima prispevkoma za majsko številko Ljubljanskega zvona, pesmijo Luna in obravnavanim esejem: ""Čestitam ti za tvoj esej o metru in ritmu.";Ivan Prijatelj je prijatelju Župančiču v pismu z Dunaja izrazil navdušenje nad njegovima prispevkoma v majski številki Ljubljanskega zvona, nad pesmijo »Mesečina« in obravnavanim esejem: »K Tvojemu eseju o metru in ritmu Ti čestitam.;;;
"""Lepo je, kadar nekdo verjame vate in kadar ti ponudi sodelovanje, ne da bi sploh govoril o denarju.";"""Lepo je, ko nekdo verjame vate in ti ponudi sodelovanje, ne da bi govoril o denarju.";;;
Tri slušne koščice posredujejo zvok iz zunanjega ušesa v notranje uho.;Tri slušne koške prenašajo zvok iz zunanjega ušesa v notranje uho.;;;
"Tokrat bo tako, saj se bo zračni pritisk nad severnim Sredozemljem in njegovim obrobjem v prihodnjih dneh (minuli konec tedna) postopoma okrepil, saj bodo naši kraji pod vplivom ""meteorološkega"" grebena.";"Tokrat bo tako, saj se bo zračni pritisk nad severnim Sredozemljem in njegovim kopenskim obrobjem v prihodnjih dneh postopoma krepil (končno šele konec tedna), ko bodo naši kraji prišli pod vpliv ""meteorološkega"" grebena.";;;
Leta 1979 je postal predsednik podjetja, osem let pozneje pa je po Noyceu in Mooru prevzel operativno vodenje podjetja, ki ga je opravljal deset let.;Leta 1979 je postal predsednik družbe, osem let pozneje pa je po Noyceu in Mooru prevzel operativno vodenje podjetja in ga vodil deset let.;;;
"Jeseni bom predstavila dve veliki sodelovanju, imeli bomo tudi dogodek ""New York po New Yorku"", kjer bomo predstavili, kaj smo naredili v New Yorku, tu bom še vedno aktivna, vendar ne računam več na prodajo kolekcije na slovenskem trgu.";"Jeseni bom predstavila dve veliki sodelovanju, imeli bomo tudi dogodek ""New York to New York"", kjer bomo predstavili, kaj smo naredili v New Yorku, tukaj bom še vedno aktivna, vendar ne pričakujem več prodaje kolekcije na slovenskem trgu.";;;
"Ni pomembno, ali so to bili moji skoraj generacijski kolegi ali pisatelji in pesniki, ki so bili, če lahko uporabim ta izraz, ""junaki"" mojih najstniških in zgodnjih dvajsetih let.";"Ni pomembno, ali so bili to moji kolegi skoraj generacije ali pisatelji in pesniki, ki so bili, če lahko uporabim ta izraz, ""junaki"" moje mladosti in zgodnjih dvajsetih let.";;;
Večina podjetij se še ni soočila s krizo, kakršni smo priča zdaj.;Večina podjetij se še ni spopadala s krizo, kakršni smo priča zdaj.;;;
Sklepali so, da sta tako skupaj zvezani skočili z mostu, a je obdukcija pokazala, da na njunih telesih ni znakov poškodb, ki bi jih utrpeli ob skoku s takšne višine, zato zdaj sumijo, da sta bili žrtvi kaznivega dejanja.;Domnevali so, da sta z mostu skočila skupaj in zvezana, vendar je obdukcija pokazala, da njuni trupli nista imeli znakov poškodb pri skoku s takšne višine, zato ju zdaj sumijo, da sta bili žrtvi kaznivega dejanja.;;;
Člani vseh političnih skupin se sestanejo pred pomembnimi sejami, da bi oblikovali skupna stališča.;Člani vseh političnih skupin se pred pomembnimi srečanji sestanejo in oblikujejo skupna stališča.;;;
Stopnja razširjenosti astme se je od 60. let prejšnjega stoletja do leta 2008 po vsem svetu znatno povečala, bolezen pa je bila v 70. letih prejšnjega stoletja priznana kot velik javnozdravstveni problem.;Od šestdesetih let prejšnjega stoletja do leta 2008 se je razširjenost astme po vsem svetu močno povečala, bolezen pa je bila v sedemdesetih letih prejšnjega stoletja priznana kot velik javnozdravstveni problem.;;;
Po podatkih informacijskega centra v Prizrenu so bili dopisnik Times of London, trije portugalski in italijanski novinarji ter francoski konzularni spremljevalec Daniel Schiffer v konvoju vozil, ko je nedaleč od njihovih dveh vozil padla Natova raketa.;Dopisnica londonskega Timesa, trije portugalski in en italijanski novinar ter francoski konzularni spremljevalec Daniel Schiffer so bili po poročanju centra za obveščanje v Prizrenu v konvoju vozil v trenutku, ko je Natov izstrelek padel nedaleč od njihovih dveh vozil.;;;
In tako se odpravi na svojo zadnjo pot, tokrat na odpad, v stilu, elegantno čepe na kesonu Palettovega kamiona: in najini duši sta očiščeni.;Tako se odpravi na svoje zadnje potovanje, tokrat na smetišče, v slogu, elegantno sedeč na kesonu Palettovega tovornjaka: in naše duše so očiščene.;;;
To je obljubil sam v več intervjujih.;To je v več intervjujih obljubil tudi sam.;;;
Fermentirani mlečni izdelki (na primer jogurt) so prav tako blagodejni.;Koristni so tudi fermentirani mlečni izdelki (npr. jogurt).;;;
Aceton in fenol sta izhodni snovi za sintezo številnih drugih pomembnih spojin.;Aceton in fenol sta surovini za sintezo mnogo drugih pomembnih spojin.;;;
Natančneje, politični dejavniki vključujejo področja, kot so davčna politika, delovna zakonodaja, okoljska zakonodaja, trgovinske omejitve, carine in politična stabilnost.;Bolj natančno, politični dejavniki vključujejo področja, kot so davčna politika, delovno pravo, okoljska zakonodaja, trgovinske omejitve, carinske dajatve in politična stabilnost.;;;
Leta 1853 je objavil znanstveno razpravo o možnosti algebrskega reševanja enačb, v kateri je razširil Galoisovo delo o teoriji enačb.;Leta 1853 je objavil znanstveno razpravo o možnosti algebrskega reševanja enačb in razširil Galoisovo delo o teoriji enačb.;;;
Skupaj s pomočjo, ki jo zagotavljajo posamezne države članice, je EU največja donatorka pomoči.;Skupaj s pomočjo, ki jo zagotavljajo posamezne države članice, je EU največja donatorica razvojne pomoči.;;;
Prav tako se imenujejo organi za potrjevanje in revizijski organi, ki nadzorujejo in zagotavljajo skladnost izdatkov s predpisi ESS.;Organi za potrjevanje in revizijski organi so imenovani tudi za spremljanje in zagotavljanje skladnosti izdatkov s pravili ESS.;;;
Eno delo bo ostalo v naši zasebni zbirki, eno bo postalo del stalne muzejske zbirke, dve pa bomo podarili našim zvestim sponzorjem in donatorjem.;Eno delo bo ostalo v naši zasebni zbirki, eno bo šlo v stalno zbirko muzeja, dve pa bomo podarili našim zvestim sponzorjem in donatorjem.;;;
Našim nogometašem oziroma njihovima ekipama v ruskem prvenstvu ne gre in ne gre.;Naši igralci ali njihove ekipe v ruskem prvenstvu ne dosegajo dobrih rezultatov.;;;
Ta knjiga je dobro znana in priljubljena med vsemi dečki in deklicami v naši državi.;To knjigo poznajo in obožujejo vsi dečki in deklice v naši državi.;;;
Pri otrocih je zdrava telesna teža odvisna od starosti in spola.;Pri otrocih je zdrava telesna masa odvisna od starosti in spola.;;;
Panettiere je prvič nastopila v oglasih pri 11 mesecih, najprej v oglasu za vlakec Playskool.;Panettiere je prvič nastopila v reklami pri starosti enajst mesecev, začela pa je z reklamo za vlakec Playskool.;;;
V času nemške okupacije od 1941 do 1944 je bila zastava sprejeta kot etnična zastava Estoncev, ne pa tudi kot državna zastava.;Med nemško okupacijo med letoma 1941 in 1944 je bila zastava sprejeta kot narodnostna zastava Estoncev, ne pa tudi kot državna zastava.;;;
Tako se na novo ustvarja peklensko ozračje, polno sovraštva, spletk in vsega tistega, česar pravi branilci domovine niso pričakovali iz vaših ust.;Tako se na novo ustvarja klima peklenska, napolnjena s sovraštvom, intrigami, z vsem onim, kar resnični branilci domovine pač niso pričakovali iz tvojih ust.;;;
Pričakovana življenjska doba je 4-6 let.;Pričakovana življenjska doba je 4–6 let.;;;
Druga teorija pravi, da je Merkur nastal iz sončne meglice, preden se je sončni izbruh ustalil.;Po drugi teoriji je Merkur nastal iz sončne meglice, preden se je Sončev izbruh ustalil.;;;
Družba Trek je s tožbo proti vsem proizvajalcem ključkov USB končala celoten zaplet, in ker je sodišče odločilo v njeno korist, je vsaj na papirju lastnica patenta.;Družba Trek je s tožbo proti vsem podjetjem, ki so izdelovala ključke USB, odpravila vso zmedo, in ker je sodišče odločilo v njeno korist, je vsaj na papirju lastnica patenta.;;;
Na Tamarovo željo se hobi usede, skupaj prebereta knjigo, iz ust ji pride, poklekne, se skloni, lahko stoji na njem in vrti obroče ...;Na Tamarovo željo se hobi usede, skupaj prebereta knjigo, iz ust se ji izvije, poklekne, se skloni, lahko stoji na njem in vrti obroče ...;;;
Na primer, skupine, ki prihajajo iz vzhodne in južne Evrope, so se pri teh merilih praviloma odrezale slabše.;Na primer, skupine iz vzhodne in južne Evrope imajo pri teh merilih običajno nižje ocene.;;;
Do leta 1958 se je imenovala Sirska univerza, po ustanovitvi Univerze v Alepu pa se je preimenovala.;Do leta 1958 se je imenovala Sirska univerza, po ustanovitvi univerze v Alepu pa se je preimenovala.;;;
Komunikacija temelji na izmenjavi informacij med več organi, pri čemer lahko vsak organ opozori ali obvesti enega ali več partnerskih pristojnih organov in/ali Evropsko komisijo.;Sporočilo temelji na izmenjavi informacij med organi, pri čemer lahko vsak organ opozori ali obvesti enega ali več pristojnih partnerskih organov in/ali Evropsko komisijo.;;;
Po organizaciji še treh konferenc v letih 2003, 2005 in 2007 je bil leta 2009 ustanovljen center SDEWES.;Po organizaciji še treh konferenc leta 2003, 2005 in 2007 je bil leta 2009 ustanovljen center SDEWES.;;;
Prepričajte se sami: vsi v Sovjetski zvezi si želijo miru in prijateljstva med narodi.;Prepričajte se sami: Vsi v Sovjetski zvezi si želijo miru in prijateljstva med narodi.;;;
Doktor medicine, specializiran za psihiatrijo, je psihiater.;Doktor medicine, ki je specializiran za psihiatrijo, je psihiater.;;;
Svojemu očetu je pomagal napisati knjigo Natural Classification of British Plants (1821).;Svojemu očetu je pomagal napisati knjigo Naravna razvrstitev britanskih rastlin (1821).;;;
Bitka pri Milvijskem mostu je bitka, ki je 28. oktobra 312 potekala med rimskima cesarjema Konstantinom I. in Maksencijanom.;Bitka na Milvijskem mostu prikazuje bitko med rimskima cesarjema Konstantinom I. in Maksencijanom, ki je potekala 28. oktobra 312.;;;
Atena je bila boginja modrosti in bojevnikov ter zavetnica Aten.;Atena je bila boginja modrosti in bojevnikov ter zaščitnica Aten.;;;
Leta 1903 je bila ukrajinska priseljenska skupnost v zahodni Kanadi že dovolj velika, da je pritegnila pozornost verskih voditeljev, politikov in izobražencev.;Do leta 1903 je bila ukrajinska priseljenska skupnost v zahodni Kanadi dovolj velika, da je pritegnila pozornost verskih voditeljev, politikov in izobraževalcev.;;;
Skoraj v vseh primerih je cerkev na lahko branljivem mestu, običajno na hribu.;V skoraj vseh primerih je cerkev na lahko obranljivem položaju, običajno na hribu.;;;
Sodeloval je v španski državljanski vojni.;Udeležil se je španske državljanske vojne.;;;
Zaradi finančnih in scenarističnih razlogov so film posneli v dveh delih, ki sta bila posneta en za drugim.;Zaradi finančnih in scenarističnih razlogov je bil film posnet v dveh delih, eden za drugim.;;;
S prvima dvema sondama, ki naj bi leteli mimo planeta, je bil izgubljen stik.;S prvima dvema sondama, ki naj bi preleteli planet, je bil stik izgubljen.;;;
V konvergenčnih regijah lahko sofinanciranje projektov iz ESS doseže 85 % skupnih stroškov.;V konvergenčnih regijah lahko ESS sofinancira projekte v višini do 85 % skupnih stroškov.;;;
Stadio Sant'Elia je bil nogometni stadion v italijanskem mestu Cagliari.;Stadio Sant'Elia je bil nogometni stadion v Cagliariju v Italiji.;;;
Zdaj počaka, da najprej jedo mačkoni, in šele nato se naje.;Zdaj počaka, da mačkoni jedo, in potem poje on.;;;
Potem je začel s študijem kemije pri Adolfu von Baeyerju in botanike pri Carlu Nägeliju na Inštitutu za botaniko v Münchnu.;Nato je začel študirati kemijo pri Adolfu von Baeyerju in botaniko pri Carlu Nägeliju na Inštitutu za botaniko v Münchnu.;;;
Tako so se začela njuna neverjetna potovanja.;Tako se je začelo njuno neverjetno potovanje.;;;
V primeru regionalne konkurenčnosti in zaposlovanja je 50-odstotno sofinanciranje pogostejše v regijah.;Pri regionalni konkurenčnosti in zaposlovanju je v regijah 50-odstotno sofinaniranje bolj običajno.;;;
Potemtakem so vajini nastopi pred televizijskimi kamerami toliko bolj neodgovorni, saj gledalci ne vedo, da se potem, ko ugasnejo kamere, vidva mirno pogovorita.;Zaradi tega so vaši nastopi pred televizijskimi kamerami še toliko bolj neodgovorni, saj gledalci ne vedo, da lahko, ko se kamere ugasnejo, govorite mirno.;;;
