sentence1;sentence2;accuracy;fluency;diversity
Blagoslovljeni oče, bdi nad ženo in sinom s pripravljenim mečem.;Blagoslovljeni oče, bdi nad mojo ženo in sinom s pripravljenim mečem.;5;5;2
Samo projekcije so.;Samo predstavitve so.;2;2;3
Bolj kot spreminjaš stvari, hitreje se jim projekcije zbližajo.;Bolj kot spreminjaš stvari, hitreje se jim predstavitve zbližajo.;2;2;3
Iskreno, če bi sam odločal o tem, bi vklenil tudi vseh 42 pacientov z oddelka A in B. Oprostite mi!;Če bi jaz odločal, bi vklenil tudi vseh 42 pacientov iz oddelkov A in B. Oprostite.;5;5;3
Nekoč smo to že verjeli.;Nekoč smo že verjeli tako.;3;3;4
Bogate gospe plačajo precej, da pridejo k največjim borcem.;Bogate gospe precej plačajo, da pridejo k največjim borcem.;5;5;3
Ja, tukaj smo, sonček.;Smo, sonček.;1;1;3
Morate oditi, drugače boste vsi umrli.;Oditi morate, drugače boste umrli.;5;5;4
Potem jih je prinesla nazaj noter in jih posadila za kuhinjsko mizo.;Nato jih je nesla v hišo in jih posadila za mizo.;3;3;5
Če vaju ne bo nazaj do trzaja, grem z ali brez vaju.;Če vaju ne bo nazaj do trzaja, grem z vama ali brez.;5;5;4
Pred dvema tednoma ste napadli Georga Noyca.;Pred dvema tednoma ste napadli Noycea.;5;5;2
Veste s kakšnimi Ijudmi imam opravka vsak dan?;Veste, s kakšnimi ljudmi se vsak dan srečujem?;5;5;5
Poslušaj mojo teorijo, Andrew.;Moja teorija je taka, Andrew.;5;5;5
-Čim pridemo v hotel in se približamo Fischerju, nas bo njegovo varovanje obkolilo.;Takoj, ko pridemo v hotel in se približamo Fischerju, nas bodo njegovi varnostniki obkolili.;5;5;5
V planinah Aleluja?;V gorovju Aleluja?;3;3;2
Kaj je tam noter?;Kaj je tam?;4;4;2
Je Senat z vami?;Senat drži z vami?;5;5;5
Aja, naj izrazimo vašo skrb neposredno Mauricu?;Ali naj izrazimo vašo skrb neposredno Mauricu?;5;5;1
Gospa je opravila.;Gospa je opravila svoje.;4;4;2
Veliko se mi mota po glavi.;Veliko se mi moti po glavi.;5;5;2
Opazoval si me vsak trenutek.;Nadzoroval si me vsako minuto.;3;3;4
Kako to, da ti ni pomembno, kak te bo vlak odpeljal?;Kako to, da ti ni pomembno, kam te bo vlak odpeljal?;5;5;0
Vedel sem, da govoriš naš jezik.;Vedel sem, da znaš angleško.;2;2;3
Kaj bi delala, če bi prišla ven?;In kaj bi storila, če bi prišla ven?;5;5;4
Samo eno mesto obstaja, kamor bi ga odpeljali.;Samo en kraj je, kamor bi ga odpeljali.;4;4;4
Torej, greste na trajekt?;Torej, boste odšli s trajektom?;5;5;5
Tukaj nimaš pravice govoriti!;Tu nimaš pravice govoriti.;5;5;3
Zarezali bodo v moje možgane.;Rezali mi bodo v možgane.;5;5;3
"Takega ""frisa"" ne pozabiš.";Takega obraza ne pozabiš.;5;5;5
Kaj pa zdaj?;Kaj pa to?;1;1;2
Po skupinski terapiji sem jo pripeljal nazaj sem in jo zaklenil.;Pripeljal sem jo sem po skupinski terapiji in zaklenil.;5;5;4
Izvajal sem neke eksperimente.;Izvajal sem neke poizkuse.;5;5;3
Če niste bili v areni, si lahko predstavo ogledate tu.;Če niste bili v areni, lahko vidite predstavo tukaj.;5;5;3
Znova si dokazal svoje junaštvo, Maksim.;Znova si dokazal svojo hrabrost, Maksim.;5;5;3
Zelenjavnik, ki podnevi dehti po zeliščih, zvečer pa po jasminu.;Zelenjavnik, ki podnevi dehti po zeliščih, zvečer po jasminu.;5;5;1
In ... nisem prepričana, da nam bo všeč, kar bomo našli.;Nisem prepričana, da nam bo všeč, kar bomo našli.;5;5;1
Žaluj z mano, brat.;Žaluj z menoj, brat.;5;5;3
To je zelo nevarno!;To je nevarno.;4;4;2
Ne več, če ne zmore, ampak noče.;Ne vem če zmore, ampak vem, da noče.;1;1;5
Utegnete potonite v globlje stanje sna.;Potonete lahko v globlje stanje sanj.;5;5;5
Kaj pa zdaj?;Pa zdaj?;4;4;2
-Zadosti preprosta.;-Dovolj preprosta.;5;5;2
36 do 48 ur je potrebnih, da nevroleptični narkotiki... dosežejo uporabni nivo v krvnem obtoku.;36 do 48 ur traja, da nevroleptični narkotik v krvi doseže primeren nivo.;5;5;5
Zato me pustite na miru.;Zato me pustite pri miru.;5;5;2
Ne pozabi na fazno integracija, srednji gumb.;Ne pozabi fazne integracije.;1;1;3
Drugič pripelji še kaj prijateljev.;In pripelji še prijatelje.;2;2;3
Andrew Laeddis je prižgal vžigalico... ki je zanetila požar, ki je ubil mojo ženo.;Andrew Laeddis je prižgal vžigalico, ki je povzročila požar, zaradi katerega je umrla moja žena.;5;5;5
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.;Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.;5;5;2
Prodal si mi jalove žirafe.;Prodal si mi slabe žirafe.;5;5;3
Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.;Da bi vam pomagali, cesar, je senat pripravil niz protokolov, da bi začeli odpravljati težave mesta, začenši z osnovnimi zdravstvenimi ukrepi v grški četrti, kjer se že pojavlja kuga.;5;5;2
In kaj naj bi to pravzaprav bilo?;In kaj naj bi to bilo?;5;5;3
Se je zgodilo kaj nenavadnega?;Se je zgodilo kaj neobičajnega?;5;5;4
Prijazen študent.;Prijeten študent.;3;3;3
Kaj si imel v glavi?;Kaj ti je šlo po glavi?;5;5;5
Ste uživali v poslednjem božjem daru?;Ste uživali v zadnjem Božjem darilu?;5;5;5
G. Breen, nekaj vprašanj vam morava postaviti, razumete?;G. Breen, postaviti vam morava nekaj vprašanj, prav?;5;5;5
Do sedaj še nisva slišala ničesar, kar bi bilo res, Chuck.;Niti enkrat nisva slišala resnice, Chuck.;5;5;5
Sodo z ledom prosim.;-Mineralno vodo z ledom, prosim.;1;1;3
Nadeni mu oklep.;Pritrdi mu oklep.;5;5;3
Kmalu bo star osem let.;Kmalu bo dopolnil osem let.;5;5;4
Uporabila je praktično iste besede kot Cawley in medicinska sestra.;Uporabila je iste besede kot Cawley in bolničarka.;5;5;3
Opraviti moramo še nekaj testov premikanja in refleksov.;Še nekaj testov motorike moramo opraviti.;5;5;5
Fige, jabolka, hruške.;Smokve, jabolka, hruške.;5;5;4
Boš ostala z mano?;Boš ostala z menoj?;5;5;3
Mogoče poznate pacienta po imenu Andrew Laeddis?;Ste kdaj spoznali pacienta po imenu Andrew Laeddis?;5;5;5
Sprehodi se.;Sprehodite se.;5;5;2
Za vse to si ti kriv, ne bi jim bilo treba umreti.;Ne bi jim bilo treba umreti.;3;3;4
Ti boš dobil bitko v Kartagini.;Ti dobiš bitko v Kartagini.;3;3;3
Ne občutiš, da je minilo šest let.;Ne zdi se kot šest let.;5;5;5
Ampak nekako niste našli časa, da bi ga pogledali.;A nekako še niste našli časa, da bi to pogledali.;5;5;2
Kje so moji prekleti... cigareti?;Kje so moje presnete cigarete?;5;5;2
Ali poznate pacienta z imenom Andrew Laeddis?;Ste kdaj spoznali pacienta po imenu Andrew Laeddis?;5;5;4
Nisem vedel, da bo drgnil svoj frdamani fris obnjo.;Nisem vedel, da bo drgnil svojo prekleto glavo ob njo.;5;5;4
Jaz sem samo še en bedak, ki gre nekam, kjer bo to obžaloval.;Jaz sem samo pešak, ki gre nekam, kamor si ne želi.;2;2;4
Umrla bi za kak vzorec.;Vse bi dala za nekaj vzorcev.;5;5;5
In ne bo ti všeč.;Ne bo ti všeč.;5;5;1
Hčere nosijo vodo iz reke.;Moje hčere nosijo vodo iz reke.;2;2;3
Tule ne voham pogodbe.;Tukaj ne voham pogodbe.;5;5;2
Zgleda, da je imel dolg pogovor s paranoidnim shizofrenikom, Georgom Noycem.;Dolgo se je pogovarjal s paranoidnim shizofrenikom, Georgeom Noycem.;3;3;4
Brat, prosim, ne napadajte ljudi iz nebes.;Brat, ne napadaj ljudi z neba.;5;5;5
-Pa še pri pameti te bo ohranilo naslednjih šest let.;Pa še pri pameti te bo ohranilo prihodnjih šest let.;5;5;3
Tvoja krivda jo definira.;Tvoja krivda jo označuje.;5;5;4
Dobrodošli v tabor.;Dobrodošli v taboru.;5;5;3
Njene rane so bile prehude.;Rane so bile prehude.;3;3;3
Oddelek B, ženski oddelek je na vaši levi strani.;Oddelek B je ženski oddelek, to je stavba na vajini levi.;3;3;4
To je bistvo težav, kajne?;To je srž težave, mar ne?;5;5;5
Ej ti,kaj je bil to za en vrag?;Ej ti, kaj je bil to za en vrag?;5;5;0
Življenje vojaka je preprosteje.;Življenje vojščaka je bolj preprosto.;5;5;3
Ko sem prišel ven, sem na tleh zagledal trupla.;Ko sem šel ven, sem na tleh videl trupla.;5;5;4
Je kdo od vas bil v vojski?;Je že kdo bil v vojski?;5;5;3
Kot da bi bil tam zunaj resničen svet, to tukaj pa samo sanje.;Kot da je tam zunaj resnični svet, to tukaj pa sanje.;2;2;4
Več kot nagačena plišasta živalca bo treba, da ta otroka prepriča, da še imata očeta.;Več kot nagačena plišasta živalca bo potrebna, da se otroka prepričata, da še imata očeta.;5;5;4
Glej vse to sveže meso.;Poglej to sveže meso.;5;5;3
Zato mi najdi korenček, ki jih bo spravil proč.;Najdi korenček, ki jih bo zvabil stran.;5;5;5
To moti moje naprave.;To moti moje instrumente.;5;5;3
Vsaka njegova zmaga je kljubovanje.;Vsaka njegova zmaga pomeni kljubovanje.;5;5;3
Samo Numidijec je vreden 2000.;Že Numidijec je vreden 2000.;3;3;3
Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.;Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.;5;5;5
Kakšnem partnerju?;Katerem partnerju?;4;4;2
Mogoče Cawley sedaj sedi v svoji graščini in razmišIja o svojem vedenju.;Mogoče Cawley sedi v svoji graščini in premišljuje o svojem obnašanju.;5;5;4
KDO JE 67?;KDO JE ŠTEVILKA 67?;4;4;1
Imenujemo ga veliki leonopteryx.;Naši mu rečejo veliki leonopteriks.;5;5;5
In jaz tebe.;Tudi jaz tebe.;5;5;5
"Jaz sem subjekt; moj um ga naseljuje.";Jaz sem predmet, moj um ga naseljuje.;4;4;2
A si dobro?;Si dobro?;5;5;1
Zdi se, da tokrat je.;Kot izgleda, tokrat je.;5;5;4
Nič vam ne pride na misel.;Vam nič ne pride na misel?;3;3;3
Prosim.. samo pusti da te držim.;Ne, prosim, moram te držati.;3;3;3
-Prišel si izpridit enega majih najbistrejših in najboljših.;-Prišel si izpridit, enega mojih najbistrejših in najboljših.;4;5;1
Sprosti se, marinec, delaš me živčno.;Živčno me delaš.;2;2;5
Veliko ime imaš.;Ugledno ime imaš.;5;5;4
A prej ali pozneje, na koncu se vedno zbudiš.;Toda prej ali slej se moraš zbuditi.;4;4;4
Če cel svet misli, da je Chuck mrtev, potem je idealen za njihove poskuse.;Če svet misli, da je Chuck mrtev, je popoln za njihove poskuse.;5;5;3
Naučena je bila.;Bila je naučena.;5;5;3
Če bomo ostali skupaj, bomo preživeli.;Če ostanemo skupaj, preživimo.;5;5;5
In vi pravite, da je morala iti tukaj mimo.;Pravite, da je morala iti tu skozi.;5;5;5
Kdo pa so, da mi pridigajo?;Kdo so oni, da predavajo meni?;5;5;5
Kako še ga izvajaš?;Kako ga še izvajaš?;5;5;1
Kako dolgo sta obtičal tam?;Kako dolgo sta obtičala tam?;4;4;1
Je legalno priseljevanje zločin, Marshal?;Je imigracija zločin, šerif?;3;3;4
Ja, je.;Ja, mislim da.;4;4;4
Boš pobijal otroke?;Boš pobil otroke?;5;5;3
Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.;Tak marinec bi lahko pridobil informacije na terenu.;5;5;5
Pri takem poslu ni prostora za turiste, gospod Saito.;Pri takšnem poslu ni prostora za turiste, gospod Saito.;5;5;2
Vse to sta rekonstruirala iz svojih spominov?;Vse to sta ponovno zgradila iz svojih spominov?;5;5;5
Ampak ta ženska mora tudi izbrati mene.;Ampak tudi ta ženska mora izbrati mene.;5;5;3
Pridobi jo na svojo stran in svoboden boš.;Pridobi ljudi na svojo stran, in postal boš svoboden.;2;2;4
Poročena sva za vse življenje.;Združena sva za vse življenje.;5;5;4
Ve, da imaš za sabo predano vojsko.;Ve, da imaš za sabo vdano vojsko.;5;5;3
Umrl bi za spomin na svoje prednike.;Umrl bi zaradi spomina na svoje prednike.;5;3;3
To verjetno ne pomeni nič dobrega.;To verjetno ni dobro.;5;5;5
Takoj mi pokaži svoj prekleti obraz!;Pokaži mi že svoj obraz!;4;4;5
Verjame v delo, ki ga opravljamo tukaj.;Verjame v naše delo.;5;5;5
Podstavimo eksploziv.;Nastavimo eksploziv.;5;5;3
Ker vem, kako močno to potrebuješ.;Ker vem, kako zelo jo potrebuješ.;2;3;2
Želel sem si le, da bi ti dorasel, cesar.;Želel sem si le, da bi ti bil dorasel, cesar.;3;3;3
Občutiš vrtoglavico ali slabost?;Čutiš kakšno odrevenelost ali bolečino?;5;5;5
Ni mogoče, da bi vedeli, da mi bo dodeljen ta primer.;Ni mogoče, da bi vedeli, da me bodo dodelili na ta primer.;5;5;5
Dobro veš, da se bom res.;Veš, da se bom.;4;4;3
Se je včeraj med skupinsko terapijo zgodilo kaj takega, kar je bilo bolj... recimo, bolj spomina vredno kot... -Normalno?;Se je med sinočnjo terapijo zgodilo kaj, kar je bilo bolj omembe vrednega od ... -Normalnega?;5;5;5
On ni na temu oddelku.;Ni ga na tem oddelku.;5;5;4
Izstopi na kakem drugem nadstropju in se ne ustavljaj.;Izstopi na kakšnem drugem nadstropju in se ne ustavljaj.;5;5;2
Si tja dol zahajal na lastno pest?;Si tja dol zahajal na sam?;2;1;3
Potrebovala bova te kartoteke.;Potrebovala bova kartoteke.;5;5;2
-Ja, a se je splačalo poskusiti.;-Ja, ampak izplačalo se je poizkusiti.;5;5;2
Človek hoče pred smrtjo vedeti, da je imelo njegovo življenje smisel.;Na smrtni postelji želi človek vedeti, da je imelo njegovo življenje smisel.;5;5;5
Toda ljudje so ga oboževali.;Ampak ljudje so ga oboževali.;5;5;2
Prave inspiracije ni možno poneveriti.;Pravega navdiha ni možno poneveriti.;5;5;4
Torej je dr. Shehan prišel danes zjutraj s trajektom.;Torej je dr. Sheehan prišel z jutranjim trajektom.;5;5;4
Kdaj bi lahko bil pripravljen na boj?;Kdaj bi lahko bili pripravljeni na boj?;5;5;2
In kateri šoli pripadate vi, doktor?;In katera šola ste vi, doktor?;5;5;4
Mojo glavo?;Z mojo glavo?;2;2;2
Nikoli ne boš član Naroda!;Nikoli ne boš eden od nas!;3;3;3
Dobro, Rachel Solando, mimo koga od vas je še morala iti, da je prišla sem dol?;Mimo koga bi še morala Rachel Solando, da bi prišla sem?;2;2;4
Kar povejo, nihče ne posluša.;Govorijo, a nihče jih ne posluša.;1;1;4
Odvedite ga dol.;Odpeljite ga dol.;5;5;2
