in_text	truth	pred	parascore-ref-based	parascore-ref-free
Po njegovih besedah so možen ukrep tudi dodatne mlečne kvote.	Možen ukrep so tudi dodatne kvote na področju mleka, je dejal.	Glede na njegov dom je možen tudi ukrep za dodatne mlečne kvote.	0.7438243794441223	0.7315453886985779
Po njegovih besedah so možen ukrep tudi dodatne mlečne kvote.	Možen ukrep so tudi dodatne kvote na področju mleka, je dejal.	Gospod Kuo je dejal, da so dodatne mlečne kvote tudi mogoče uporabiti.	0.6354572343826294	0.5969772934913635
Po njegovih besedah so možen ukrep tudi dodatne mlečne kvote.	Možen ukrep so tudi dodatne kvote na področju mleka, je dejal.	Dodal je, da bo treba potrditi tudi dodatne mlečne kvote.	0.6968774366378784	0.6994372606277466
Odprete vrata fotokopirnice in ostrmite od presenečenja - notri sta vaša sodelavca, ki strastno seksata.	Odpreš vrata fotokopirnice in presenečeno zavzdihneš - v njej strastno seksata dva tvoja sodelavca.	Odprete vrata fotokopirnice in se presenečenje naključno zažene -- da so vaša sodelavca strastno seksata.	0.7884201117924281	0.7858304977416992
Odprete vrata fotokopirnice in ostrmite od presenečenja - notri sta vaša sodelavca, ki strastno seksata.	Odpreš vrata fotokopirnice in presenečeno zavzdihneš - v njej strastno seksata dva tvoja sodelavca.	Odprete vrata fotokopirnice in ostrmite se od presenečenja - vaša sodelavca strastno seksata.	0.8851390674874022	0.9195191264152527
Odprete vrata fotokopirnice in ostrmite od presenečenja - notri sta vaša sodelavca, ki strastno seksata.	Odpreš vrata fotokopirnice in presenečeno zavzdihneš - v njej strastno seksata dva tvoja sodelavca.	Odprete vrata fotokopirnice in se izognete presenečenju - vaše sodelavce strastno seksatata.	0.804457906969301	0.8355628848075867
Iz Toshibe so sicer sporočili, da ostajata danes zaprta le še ena njihova tovarna in raziskovalno- razvojni center, ob tem pa so zagotovili, da proizvodnje pomnilnikov NAND niso ustavili.	Toshiba je sporočila, da so danes zaprte le ena od njenih tovarn ter raziskovalno-razvojni center, vendar je zagotovila, da proizvodnja pomnilnika NAND ni ustavljena.	Toshiba je dejala, da ostajata danes zaprta le še ena njihova tovarna in raziskovalno- razvojni center ter poskrbila, da proizvodnje pomnilnikov NAND niso ustavili.	0.8236747742154563	0.8631199598312378
Iz Toshibe so sicer sporočili, da ostajata danes zaprta le še ena njihova tovarna in raziskovalno- razvojni center, ob tem pa so zagotovili, da proizvodnje pomnilnikov NAND niso ustavili.	Toshiba je sporočila, da so danes zaprte le ena od njenih tovarn ter raziskovalno-razvojni center, vendar je zagotovila, da proizvodnja pomnilnika NAND ni ustavljena.	Iz Toshibe so povedali, da ostajata danes zaprta le še ena tovarna in raziskovalno- razvojni center ter zagotovili so, da proizvodnje pomnilnikov NAND niso ustavili.	0.8987788846512803	0.923553466796875
Iz Toshibe so sicer sporočili, da ostajata danes zaprta le še ena njihova tovarna in raziskovalno- razvojni center, ob tem pa so zagotovili, da proizvodnje pomnilnikov NAND niso ustavili.	Toshiba je sporočila, da so danes zaprte le ena od njenih tovarn ter raziskovalno-razvojni center, vendar je zagotovila, da proizvodnja pomnilnika NAND ni ustavljena.	Toshibe so sporočili, da jim bodo danes zaprti le še ena tovarna in raziskovalno- razvojni center, vendar so zagotovili, da se na področju nacionalne varnosti proizvodnje pomnilnikov NAND ne ustavili.	0.8449344205856323	0.8389593958854675
"""Jutri se betonska plošča začne ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, da se bo v ponedeljek lahko začel trening,"" je dejal Makoter, ki se zaveda, da so morali hokejisti zaradi teh težav potovati na drugi konec države, da so lahko trenirali na ledu."	"""Jutri se bo betonska plošča začela ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, tako da se bo trening lahko začel v ponedeljek,"" je dejal Makoter, ki se zaveda, da so hokejisti zaradi teh težav prisiljeni potovati na drugi konec države, da bi trenirali na ledu."	""" Jutri se začne ohlajati betonska plošča, v sredo in četrtek bomo naredili led in zarisali črte, da se bodo v ponedeljek lahko začeli treningi,"" je dejal Makoter, ki je izvedel, da so se hokejisti zaradi teh težav morali pisati na drug konec države, da bi lahko trenirali na ledu."	0.9150687734003169	0.9086268544197083
"""Jutri se betonska plošča začne ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, da se bo v ponedeljek lahko začel trening,"" je dejal Makoter, ki se zaveda, da so morali hokejisti zaradi teh težav potovati na drugi konec države, da so lahko trenirali na ledu."	"""Jutri se bo betonska plošča začela ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, tako da se bo trening lahko začel v ponedeljek,"" je dejal Makoter, ki se zaveda, da so hokejisti zaradi teh težav prisiljeni potovati na drugi konec države, da bi trenirali na ledu."	""" Jutri se začne hladiti betonska plošča, v sredo in četrtek bomo naredili led in zarisali črte, da se bodo hokejisti lahko začeli trening,"" je dejal Makoter, ki se zaveda, da so morali zaradi teh težav potovati na drug konec Zemlje, da bi lahko trenirali na ledu."	0.9134755771253016	0.9130973815917969
"""Jutri se betonska plošča začne ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, da se bo v ponedeljek lahko začel trening,"" je dejal Makoter, ki se zaveda, da so morali hokejisti zaradi teh težav potovati na drugi konec države, da so lahko trenirali na ledu."	"""Jutri se bo betonska plošča začela ohlajati, v sredo in četrtek bomo naredili led in zarisali črte, tako da se bo trening lahko začel v ponedeljek,"" je dejal Makoter, ki se zaveda, da so hokejisti zaradi teh težav prisiljeni potovati na drugi konec države, da bi trenirali na ledu."	""" Jutri se začnejo hladiti betonska plošča, v sredo in četrtek bomo naredili led in zarisali črte, tako da bodo hokejisti lahko začeli z vadbo v ponedeljek,"" je dejal Makoter, ki je izvedel, da je bil odvisen od teh težav, da so se hokejisti morali zaradi teh težav preseliti na drug konec države, da so lahko trenirali na ledu."	0.870070354938507	0.8434340953826904
Usklajeno delovanje bank naj bi poleg sočasnega zasega dokazoval tudi dogovor med vodstvi treh domačih bank glede dividendne politike v Mercatorju.	Poleg sočasnega zasega naj bi usklajeno delovanje bank dokazoval tudi dogovor med upravami treh domačih bank o dividendni politiki Mercatorja.	Poleg sočasnega zasega naj bi usklajeno delovanje bank dokazoval tudi dogovor med vodstvi treh domačih bank o dividendnih politikah v Mercatorju.	0.9198606916836329	0.9005019664764404
Usklajeno delovanje bank naj bi poleg sočasnega zasega dokazoval tudi dogovor med vodstvi treh domačih bank glede dividendne politike v Mercatorju.	Poleg sočasnega zasega naj bi usklajeno delovanje bank dokazoval tudi dogovor med upravami treh domačih bank o dividendni politiki Mercatorja.	Ukladjeno delovanje bank naj bi poleg sočasnega zasega dokazoval tudi dogovor med vodstvi treh domačih bank o dividendnih politiki v Mercatorju.	0.8981040983088857	0.8934502601623535
Usklajeno delovanje bank naj bi poleg sočasnega zasega dokazoval tudi dogovor med vodstvi treh domačih bank glede dividendne politike v Mercatorju.	Poleg sočasnega zasega naj bi usklajeno delovanje bank dokazoval tudi dogovor med upravami treh domačih bank o dividendni politiki Mercatorja.	Usklajeno delovanje bank naj bi poleg sočasnega zasega dokazoval tudi dogovor med vodstvi treh domačih bank o dividendni politiki Mercatorja.	0.8989983467944509	0.9006001949310303
Geotermalna energija je toplotna energija, ki jo proizvaja notranja toplota Zemlje.	Geotermalna energija je termalna energija, ki jo proizvaja Zemljina notranja vročina.	Geotermalna energija je toplotna energija, ki nastaja zaradi notranje toplote zemlje.	0.7131155421753892	0.7415777444839478
Geotermalna energija je toplotna energija, ki jo proizvaja notranja toplota Zemlje.	Geotermalna energija je termalna energija, ki jo proizvaja Zemljina notranja vročina.	Geotermalna energija je toplotna energija, ki jo proizvaja zemlja.	0.829722409158073	0.8919376134872437
Geotermalna energija je toplotna energija, ki jo proizvaja notranja toplota Zemlje.	Geotermalna energija je termalna energija, ki jo proizvaja Zemljina notranja vročina.	Geotermalna energija je toplotna energija, ki prihaja iz notranje toplote zemlje.	0.7192482143384044	0.7463788986206055
Vitice se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Čopki se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Vitice se nanašajo na mašno vino, ki je evharističen simbol Kristusove krvi.	0.8784985124616694	0.8533523678779602
Vitice se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Čopki se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Vitice se nanašajo na mašno vino, simbol evharistične krvi Kristusa.	0.9353793814717507	0.9353793859481812
Vitice se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Čopki se nanašajo na mašno vino, evharistični simbol Kristusove krvi.	Vitice se nanašajo na mašno vino, simbol evharistične krvi Kristusa.	0.9353793814717507	0.9353793859481812
Evropska komisija bi morala narediti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala minister za kmetijstvo Iztok Jarc in njegov francoski kolega Michel Barnier .	Evropska komisija bi morala analizirati vzroke in posledice naraščajočih cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala kmetijski minister Iztok Jarc in njegov francoski kolega Michel Barnier.	Evropska komisija bi morala pregledati vzroke in posledice rasti cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala minister za kmetijstvo Iztok Jarc in njegov francoski kolega Michel Barnier.	0.9130244750265749	0.9206955432891846
Evropska komisija bi morala narediti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala minister za kmetijstvo Iztok Jarc in njegov francoski kolega Michel Barnier .	Evropska komisija bi morala analizirati vzroke in posledice naraščajočih cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala kmetijski minister Iztok Jarc in njegov francoski kolega Michel Barnier.	Evropska komisija bi morala storiti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih, sta po današnjiemu srečanju v Ljubljani povedala kmetijski minister Iztok Jarc in njegov francoski kolega Michel Barnier.	0.8997326878435123	0.9139337539672852
Evropska komisija bi morala narediti analizo vzrokov in posledic rasti cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala minister za kmetijstvo Iztok Jarc in njegov francoski kolega Michel Barnier .	Evropska komisija bi morala analizirati vzroke in posledice naraščajočih cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala kmetijski minister Iztok Jarc in njegov francoski kolega Michel Barnier.	Evropska komisija bi morala analizirati vzroke in posledice rasti cen hrane po posameznih sektorjih, sta po današnjem srečanju v Ljubljani povedala kmetijski minister Iztok Jarc in njegov francoski kolega Michel Barnier.	0.9182308083587551	0.8989304304122925
V sodobni zahodni kulturi prekomerna telesna teža velja za neprivlačno, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	Sodobna zahodna kultura meni, da je prekomerna telesna teža neprivlačna, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	V sodobni zahodni kulturi je prekomerna telesna teža neprivlačna, medtem ko je debelost pogosto povezana z različnimi negativnimi stereotipi.	0.9015140197559693	0.9028948545455933
V sodobni zahodni kulturi prekomerna telesna teža velja za neprivlačno, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	Sodobna zahodna kultura meni, da je prekomerna telesna teža neprivlačna, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	V sodobni zahodni kulturi je prekomerna telesna teža neprivlačna, medtem ko je debelost pogosto povezana z različnimi negativnimi stereotipi.	0.9015140197559693	0.9028948545455933
V sodobni zahodni kulturi prekomerna telesna teža velja za neprivlačno, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	Sodobna zahodna kultura meni, da je prekomerna telesna teža neprivlačna, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	V sodobni zahodni kulturi se prekomerna telesna teža šteje neprivlačna, debelost pa je pogosto povezana z različnimi negativnimi stereotipi.	0.9215059507623011	0.9199897646903992
Razmere so se danes dodatno zapletle v nuklearki Fukušima 1 , zaradi česar se mnogi bojijo jedrske katastrofe.	Danes so se razmere v jedrski elektrarni Fukušima 1 še bolj zapletle, zaradi česar se mnogi bojijo jedrske nesreče.	Razmere so danes še dodatno zapletle v jedrski nesreči v Fukušimu.	0.6896664667129516	0.7788253426551819
Razmere so se danes dodatno zapletle v nuklearki Fukušima 1 , zaradi česar se mnogi bojijo jedrske katastrofe.	Danes so se razmere v jedrski elektrarni Fukušima 1 še bolj zapletle, zaradi česar se mnogi bojijo jedrske nesreče.	Nedavne težave pri Fukušimi so se še dodatno zapletle v jedrsko nesrečo, kar bi bilo nekaj razlogov za veliko mnenj o jedrski nesreči.	0.6781577038764953	0.6115896105766296
Razmere so se danes dodatno zapletle v nuklearki Fukušima 1 , zaradi česar se mnogi bojijo jedrske katastrofe.	Danes so se razmere v jedrski elektrarni Fukušima 1 še bolj zapletle, zaradi česar se mnogi bojijo jedrske nesreče.	Razmere so se danes še dodatno zapletle v jedrsko energijo Fukušima - 1 -, zaradi česar se mnogi bojijo jedrske katastrofe.	0.8505910938209773	0.8321287631988525
Vojske zaveznikov so skušale zaustaviti nemško vojsko v Belgiji, misleč, da je to glavna nemška ofenziva.	Zavezniške vojske so poskušale ustaviti nemško vojsko v Belgiji, saj so mislile, da gre za glavno nemško ofenzivo.	Vojska zaveznikov je skušala ustaviti nemško vojsko v Belgiji, ki je trdila, da je glavna nemška obrambna.	0.6793058400848162	0.6905426979064941
Vojske zaveznikov so skušale zaustaviti nemško vojsko v Belgiji, misleč, da je to glavna nemška ofenziva.	Zavezniške vojske so poskušale ustaviti nemško vojsko v Belgiji, saj so mislile, da gre za glavno nemško ofenzivo.	Zavezniki so skušali ustaviti nemško vojsko v Belgiji, ker so se odločili, da bo to vodilna nemška obramba.	0.770037190914154	0.7451762557029724
Vojske zaveznikov so skušale zaustaviti nemško vojsko v Belgiji, misleč, da je to glavna nemška ofenziva.	Zavezniške vojske so poskušale ustaviti nemško vojsko v Belgiji, saj so mislile, da gre za glavno nemško ofenzivo.	Vojske zaveznikov so skušale iz Belgije ustaviti nemško vojsko, saj so verjeli, da je to vodilna nemška obrambna obramba.	0.7611186075210571	0.7421121597290039
Odkar obstajajo globalni mediji, ki domnevno proizvajajo nekakšno globalno zavest, še ni bilo tako čustvenih dveh tednov, kakršnima smo bili zdaj priča.	Odkar obstajajo svetovni mediji, ki naj bi ustvarjali nekakšno globalno zavest, še nikoli nismo imeli tako čustvenih štirinajstih dni kot zdaj.	Odkar so tukaj, da obstajajo globalni mediji, ki spodbujajo teorijo, da globalna zavest obstaja, še nismo priča zaradi čustvenih dveh tednov, kakršnima smo bili priča.	0.7975425887107849	0.8001906871795654
Odkar obstajajo globalni mediji, ki domnevno proizvajajo nekakšno globalno zavest, še ni bilo tako čustvenih dveh tednov, kakršnima smo bili zdaj priča.	Odkar obstajajo svetovni mediji, ki naj bi ustvarjali nekakšno globalno zavest, še nikoli nismo imeli tako čustvenih štirinajstih dni kot zdaj.	Odkar obstajajo globalni mediji, ki po mnenju analitikov ustvarjajo nekakšno globalno zavest, ni bilo skoraj tako čustvenih dveh tednov kot vi, kar smo zdaj priča.	0.8140936673366637	0.8143806457519531
Odkar obstajajo globalni mediji, ki domnevno proizvajajo nekakšno globalno zavest, še ni bilo tako čustvenih dveh tednov, kakršnima smo bili zdaj priča.	Odkar obstajajo svetovni mediji, ki naj bi ustvarjali nekakšno globalno zavest, še nikoli nismo imeli tako čustvenih štirinajstih dni kot zdaj.	Odkar obstajajo globalni mediji, ki pravijo, da nekakšna globalna zavest ni bila tako čustvenih do današnjih današnjih dvodnevnih dni, kot so kdaj priča.	0.7490240502357483	0.7538544535636902
Da bi uresničil svoj načrt, je Woodard odpotoval do nekdanje vegetarijansko-feministične utopije in se tam srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanjo vegetarijansko-feministično utopijo in se srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanjo feministično utopijo, kjer je srečal njeno občinsko vodstvo.	0.8284715810052345	0.8138704895973206
Da bi uresničil svoj načrt, je Woodard odpotoval do nekdanje vegetarijansko-feministične utopije in se tam srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanjo vegetarijansko-feministično utopijo in se srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanjo vegetarijansko feministično utopijo in se srečal z njeno občinsko upravo.	0.9024884907532505	0.867388129234314
Da bi uresničil svoj načrt, je Woodard odpotoval do nekdanje vegetarijansko-feministične utopije in se tam srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanjo vegetarijansko-feministično utopijo in se srečal z njenim občinskim vodstvom.	Da bi uresničil svoj načrt, je Woodard odpotoval v nekdanji vegetarijansko feministični utopiji in se srečal z njeno občinsko vodstvo.	0.886518273363171	0.864335834980011
Tečaji delnic so se močno znižali.	Cene delnic so drastično padle.	Tečaji delnic so se močno znižali.	0.95	0.949999988079071
Tečaji delnic so se močno znižali.	Cene delnic so drastično padle.	Delnice so se včeraj zelo znižale.	0.7398177552223205	0.7718811631202698
Tečaji delnic so se močno znižali.	Cene delnic so drastično padle.	Ocene delnic so padle močno na IPO.	0.7078715133666992	0.5844669342041016
Mesto predsednika uprave s petletnim mandatom je prevzel po upokojitvi takratnega predsednika uprave Jakoba Piskernika leta 1998.	Po odhodu takratnega predsednika uprave Jakoba Piskernika leta 1998 je za pet let prevzel funkcijo predsednika uprave.	Kot predsednik uprave je prevzel petletni mandat po upokojitvi takratnega predsednika uprave Jakoba Piskernika leta 1998.	0.8476366687850698	0.8821132779121399
Mesto predsednika uprave s petletnim mandatom je prevzel po upokojitvi takratnega predsednika uprave Jakoba Piskernika leta 1998.	Po odhodu takratnega predsednika uprave Jakoba Piskernika leta 1998 je za pet let prevzel funkcijo predsednika uprave.	Po upokojitvi takratnega predsednika uprave Jakoba Piskernika leta 1998 je prevzel funkcijo predsednika uprave za pet let.	0.914533154964447	0.7603999376296997
Mesto predsednika uprave s petletnim mandatom je prevzel po upokojitvi takratnega predsednika uprave Jakoba Piskernika leta 1998.	Po odhodu takratnega predsednika uprave Jakoba Piskernika leta 1998 je za pet let prevzel funkcijo predsednika uprave.	Po upokojitvi predsednika uprave Jakoba Piskernika leta 1998 je mesto predsednika družbe prevzel na pet let.	0.8357018995285034	0.7352678179740906
Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za zagotavljanje tehnične in znanstvene podpore pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	0.95	0.949999988079071
Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za zagotavljanje tehnične in znanstvene podpore pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	0.95	0.949999988079071
Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za zagotavljanje tehnične in znanstvene podpore pobudi.	Skupno raziskovalno središče Evropske komisije je odgovorno za tehnično in znanstveno podporo pobudi.	0.95	0.949999988079071
