sentence1;setnence1;setnence2;setnence3
 Nisem pa si mislil, da bom kdaj šel tja.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Lahko bi me zakrpali, če bi šel nazaj.; Rekel sem si, da lahko opravim vsak test.
 V tvojega brata smo veliko investirali.; Močno srce imaš.; To ti najbrž ne bo težko.; Zdaj si sin Omaticaye.
 S teboj bi se radi dogovorili, da prevzameš njegovo pogodbo.; Lahko ji ukažeš, kaj naj dela.; Ampak če si tu, bi te rad opozoril.; Če dovoliš, bi rad nekaj povedal.
 Ker je tvoj genetski zapis enak kot njegov, lahko stopiš v njegove čevlje.; Lahko ji ukažeš, kaj naj dela.; In če oslabiš, te Pandora brez opozorila ubije.; Ljudstvo ti lahko pomaga.
 Če lahko tako rečemo.; In tudi to je dejstvo.; Tako se to dela.; Ali nekaj takega.
 To bo svež začetek na novem svetu.; To bi bil nov začetek na novem svetu.; Še več ljudi z neba bo prišlo.; Prišli bodo kot dež, ki ga ni nikoli konec.
 Tudi plačilo je dobro.; In plačilo je dobro.; Kar je verjetno veliko.; Zenični refleks je dober.
 Zelo dobro.; Zelo dobro.; V redu je.; V redu je.
 Namestite maske!; Zbežite!; Dajmo, Grace!; Bežite!
 Zapomnite si, če izgubite masko, boste čez dvajset sekund nezavestni.; Nikar ne vstajajte.; Pojezdite hitro, kolikor vas veter nese.; Če vam bo slabo, uporabite vrečko.
 Čez štiri minute boste mrtvi. Naj nihče ne umre danes, to bi izgledalo zelo slabo v mojem poročilu.; Naj danes nihče ne umre. V poročilu ne bi bilo lepo.; Brat, ne napadaj ljudi z neba. Veliko Omaticay bi umrlo.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Eno življenje se konča drugo pa se začne.; Eno življenje se konča, drugo začne.; Če pridejo do Drevesa duš, je konec.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Ko se spustimo pojdite naravnost v bazo, brez ustavljanja!; Ko se rampa spusti, pojdite naravnost v bazo.; Gremo, hitro!; Počakajte, prosim!
 Pojdite naravnost noter! Počakajte nam moj znak!; Počakajte, prosim!; Tiho, prosim! Ugasnite luči.; Gremo, gremo! Ven. Brez ustavljanja! Ne ustavljajte se.
 Gremo!; Gremo!; Gremo!; Gremo, gremo!
 Ne obstaja kaj takega kot bivši marinec.; Raziskovalca rabim, ne odsluženega marinca.; Lahko bi me zakrpali, če bi šel nazaj.; Ta tujec se ne bo ničesar naučil.
 Morda nisi več zraven, a nikoli ne izgubiš navad.; To ti najbrž ne bo težko.; Nisem več pri marincih, ampak nastrojenost ostane.; Zdaj pa je čas, da se vrneš.
 Rekel sem si, da bom prestal vsak test, ki ga lahko človek prestane.; Rekel sem si, da lahko opravim vsak test.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.; Lahko bi me zakrpali, če bi šel nazaj.
 Lahko vam ozdravijo hrbtenico, če imate denar.; Če imaš denar, ti lahko popravijo hrbtenjačo.; Če hočete preživeti, morate biti psihično trdni.; Če obstaja pekel, pojdite tja na dopust po Pandori.
 Ampak ne, če jim ne koristite, ne v tem gospodarstvu.; Ampak to se ne bo zgodilo.; Dovolite mi, da jih prepričam.; Ne bodo se pogodili.
 Gremo, posebni primer, ne pusti me čakati.; Gremo, posebni primer. Ne bom te čakal.; Sedi, za tvojo varnost gre.; Hčerka, vzemi moj lok.
 Glej, glej, dame.; Sedi, za tvojo varnost gre.; Mater, so veliki.; Hčerka, vzemi moj lok.
 Glej vse to sveže meso.; Poglej to sveže meso.; Poglej svet, od koder prihajamo.; Lahko si narediš lok iz lesa Domačega drevesa.
 Nekoč na Zemlji so to bili vojaki, marinci.; Na Zemlji so bili vojaki in marinci, ki so se bojevali za svobodo.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.; To je prvi bojevnik sanjehodcev, ki ga vidimo.
 Borili so se za svobodo.; Ubili so svojo mater.; Na Zemlji so bili vojaki in marinci, ki so se bojevali za svobodo.; Samo peščica jih je lahko ostala.
 Tukaj pa so bili samo najemniki, ki so delali za denar, za podjetje.; Tu pa so bili najemniki, ki delajo za denar.; Potreboval sem njihovo pomoč, oni pa mojo.; Tako se to dela.
 Poglej tega, človek. Na vozičku je.; V redu, v redu. Poglej.; Poslušaj. Eno uro časa imaš.; Rogue 1 je zadet. Nazaj grem.
 Človek, to ni prav.; To ni prav.; Zakaj jaz? To ni pošteno.; Saj to ni res!
 Niste več v Kansasu.; Niste več v Kansasu.; Na Pandori ste, gospe in gospodje.; V kriu ste bili 5 let, 9 mesecev in 22 dni.
 Dame in gospodje, ste na Pandori.; Na Pandori ste, gospe in gospodje.; Za vašega brata gre.; Dovolite mi, da jih prepričam.
 Spoštujte to dejstvo, vsako sekundo in vsak dan.; Ves čas se zavedajte tega.; Tega nočete imeti na vesti, verjemite.; Verjemite, da so tam.
 Če pekel obstaja, si lahko tam privoščite dopust, ko končate na Pandori.; Če obstaja pekel, pojdite tja na dopust po Pandori.; Oditi morate, drugače boste umrli.; Tu živijo tudi humanoidi, imenovani Na'vi.
 Tam zunaj za ograjo vas vsako živo bitje, ki hodi, leti, ali se plazi po blatu, želi ubiti in vas požreti.; Za tisto ograjo so plazeča se, leteča in čepeča bitja, ki vas hočejo ubiti in vam požreti oči.; Sovražnik je tam zunaj in zelo močan je.; Ti demoni ne smejo sem.
 Imamo tudi inteligentna, humanoidna bitja imenovana Na'vi.; Tu živijo tudi humanoidi, imenovani Na'vi.; To je prvi bojevnik sanjehodcev, ki ga vidimo.; Sovražniki verjamejo, da njihovo gorsko oporišče varuje njihovo … Njihovo božanstvo.
 Radi uporabljajo puščice namočene v živčni strup, ki vam v minuti ustavi srce.; Puščice namakajo v strup, ki ti v minuti ustavi srce.; To se zgodi, če proti njim uporabiš strojnice.; Recite jim, da jih kliče Toruk Macto.
 Kosti imajo okrepljene z naravnimi ogljikovimi steklenimi vlakni.; Kosti imajo ojačane z naravnimi ogljikovimi vlakni.; Vzgajajo jih iz kombinacije človeške in domorodne DNK.; Imajo zunanji obroč stebrov.
 Zelo težko jih je ubiti.; Zelo težko jih je ubiti.; To se zgodi, če proti njim uporabiš strojnice.; Sovražnik je tam zunaj in zelo močan je.
 Kot vodja varnosti imam nalogo, da vas obdržim žive.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.; Vsi v tem oporišču se borimo za preživetje.; Sovražnik je tam zunaj in zelo močan je.
 Ne bo mi uspelo.; Ne bo mi uspelo.; Ne, uspelo mi bo.; Sploh mi ni treba braniti.
 Ne pri vseh.; Ne pri vseh.; Ampak ne tako kot tu.; Zdaj se ne več.
 Če hočete preživeti, potrebujete močno voljo.; Če hočete preživeti, morate biti psihično trdni.; Ves čas se zavedajte tega.; Če jih boste hoteli napasti, ne bo lahko.
 Ubogati morate pravila.; Ubogajte pravila.; Ne bojte se.; Odpeljite ga.
 Pravila Pandore.; Pravila Pandore.; Maske gor.; Enota 1, Beulah. Najmanj nagaja.
 Pravilo številka ena...; Kdo je nevaren? Tako je.; Ni se mi treba. –Jezus.; Še enkrat.
 Za sprostitev ni nič boljšega kot starokopitno varnostno predavanje.; Splačalo se je poskusiti.; Težko je napolniti čašo, ki je že polna.; Če obstaja pekel, pojdite tja na dopust po Pandori.
 Jake, saj si Jake, ali ne?; Kaj za vraga delaš, Jake!; Jake, me slišiš?; Rogue 1, me slišiš?
 Tomov brat.; Izobčenec.; Bojevnik iz klana marincev.; Šef.
 Podoben si mu.; Čisto si mu podoben.; Tebi je podoben.; Podoben mu je.
 Jaz sem Norm Spellman. Skupaj sva bila na avatar treningu.; Obožujem to palico. Obožujem to palico.; Norm Spellman. Skupaj sva bila na avatarskem urjenju.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
 Biološki laboratorij, tukaj bova preživela veliko časa.; Lahko se bom dogovoril o selitvi.; Slišal sem o njej, nisem pa si mislil, da bom šel tja.; Nekaj morava narediti.
 Kako kaj gre? Norm, upravitelj avatarja.; Veliko časa bova preživela tu. Zdravo. Kako ste? Norm, upravljavec avatarja.; Človek, ne!; Rogue 1 je zadet. Nazaj grem.
 Tukaj je soba za povezavo, tukaj se priključiš na avatarja...; To je soba z linki.; Tu se povežemo z avatarjem.; Kušni me na … Vključi link.
 Z Normom bova upravljala ta daljinsko vodena telesa, avatarje.; Z Normom bova upravljala telesa, imenovana avatarji.; To je zdaj tvoj avatar, Jake.; Obožujem to palico. Obožujem to palico.
 Vzgojili so jih iz človeške DNK pomešane z DNK domorodcev.; Vzgajajo jih iz kombinacije človeške in domorodne DNK.; Orbitalne slike kažejo, da je njihovo število z nekaj sto v enem dnevu naraslo na več kot dva tisoč.; Kosti imajo ojačane z naravnimi ogljikovimi vlakni.
 Dobrodošla.; Dobrodošel.; Hvala.; Oprostite.
 Dobrodošla na Pandoro, lepo, da sta tukaj.; Vem, da najbrž ne razumeš, ampak hvala.; Hvala, ker ste leteli z Air Pandoro.; Gremo, hitro!
 Velika sta že. -Odrasla sta na letu do sem.; Zdaj si sin Omaticaye.; Zdaj si Omaticaya.; Živijo, Jake, v Eywi.
 Izgleda, da zelo dobro napredujeta.; Jutri ju lahko preizkusita.; Začeli bomo lepo počasi.; Zenični refleks je dober.
 Veliko mišične mase sta pridobila.; Zaljubil sem se.; Nato pa se je vse spremenilo.; Ja, odličen mišični tonus imajo.
 Trajalo bo nekaj ur, da ju pripravimo, ampak jutri ju lahko vzameta ven.; Čez nekaj ur bosta zunaj.; Jutri ju lahko preizkusita.; Drugače bo pela samo palica.
 Ta je tvoj.; Tamle je tvoj.; Oče, vidim te.; Tako, ja. Moj si.
 Podoben je bratu.; Podoben mu je.; Zdaj je pri Eywi.; Naši mu rečejo veliki leonopteriks.
 Podoben je tebi.; Tebi je podoben.; Čisto si mu podoben.; Podoben mu je.
 Zdaj je to tvoj avatar, Jake.; To je zdaj tvoj avatar, Jake.; Zdaj sem s tabo, Jake.; Zdaj si sin Omaticaye.
 Koncept je tak, da je vsakemu upravljavcu prirejen njegov avatar.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.; Tu se povežemo z avatarjem.; To je soba z linki.
 Njun živčni sistem je usklajen.; To je več povezav kot v človeških možganih.; Ne gre samo za koordinacijo oči in rok.; Vsako drevo ima deset na četrto povezav z drevesi okrog sebe.
 Ali nekaj podobnega...; Ali nekaj takega.; Ampak ne tako kot tu.; Ali največji.
 Delo so mi ponudili, ker se lahko povežem s Tommyjevim avatarjem.; To delo sem dobil, ker se lahko povežem s Tommyjevim.; Z Normom bova upravljala telesa, imenovana avatarji.; Lahko se bom dogovoril o selitvi.
 Ta pa je izjemno drag.; Kar je verjetno veliko.; Ker je kila tega vredna 20 milijonov.; Vendar pa nudi enkratno priložnost.
 Je prav tako?; Je to res?; Je to mogoče?; Je uspelo?
 Za video dnevnik lahko povem karkoli?; Je to res?; Kakšna logika je to?; Naj torej plešem z njim?
 Ja, v navado nam je prešlo, da vse dokumentiramo.; Ja, dokumentirati moramo, kaj vidimo in čutimo.; Tako se to dela.; Gotovo nas že opazujejo.
 Vse kar vidiš, vse kar čutiš, vse je del znanosti.; Bogastvo tega sveta ni v tleh, ampak vse okrog nas.; Za znanost. –Opazovanje je del znanosti.; Ja, dokumentirati moramo, kaj vidimo in čutimo.
 Znanost je samo dobro opazovanje. -Pa še pri pameti te bo ohranilo naslednjih šest let.; Pa še pri pameti te bo ohranilo prihodnjih šest let.; Upam, da teh bedarij ne bo na končnem izpitu.; Jake, poslušaj me. –Daj no. Uspavali te bodo.
 Saj vseeno.; Saj ti je že.; V redu.; V redu.
 Zdaj sem torej tukaj.; Zdaj pa je čas, da se vrneš.; To moram končati.; Omaticaya sem. Eden od vas sem.
 Ukvarjam se z znanostjo.; Skratka, tu sem in ukvarjam se z znanostjo.; Znanstvenica sem.; Pet let se že učim, a se moram še veliko.
 Prihajajo ven.; Prišli bodo kot dež, ki ga ni nikoli konec.; Mater, so veliki.; Ker nismo edini, ki letijo tam okrog.
 Pozor, upravljavci prihajajo iz komor.; Pozor! Upravljavci se odklapljajo od linkov.; Bravo 11, zavij levo.; Tiho, prosim! Ugasnite luči.
 Kdo ima moje presnete cigarete?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?; Kdo ima zmenek s poglavarjevo hčerko?; Kako bom vedel, da me je izbral?
 Ljudje, kaj je tukaj narobe?; Kakšna logika je to?; Kdo ima cigareto zame? Ljudje, kaj tu manjka?; Kaj se dogaja?
 Hvala.; Hvala.; Oprostite.; Dobrodošel.
 Grace Augustine je legenda.; Peyral je dobra lovka.; To je mati.; Pale je samica.
 Ona je vodja avatar programa, napisala je tudi knjigo.; Vodi avatarski program in napisala je knjigo o rastlinstvu na Pandori.; Od tod naprej smo VFR.; Skratka, tu sem in ukvarjam se z znanostjo.
 In to dobesedno, napisala je knjigo o rastlinstvu Pandore.; Vodi avatarski program in napisala je knjigo o rastlinstvu na Pandori.; Tista drevesa so bila za Omaticaye sveta.; Ker ima rastline raje kot ljudi.
 To pa zato, ker ima raje rastline kot ljudi.; Ker ima rastline raje kot ljudi.; Pravi, da je energija samo sposojena in da jo moraš nekoč vrniti.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 Tako, Trnuljčica je zopet med nami.; Gremo, hitro!; Pojdimo, vas se zgodaj prebudi.; Eywa te je slišala!
 Grace, predstavljam vam Norma Spellmana in Jaka Sullyja.; Hej, Sully, kako je, če izdaš lastno raso?; Dovolite mi, da jih prepričam.; Eytukan, nekaj bi rad povedal.
 Norm, slišala sem nekaj dobrih stvari o tebi. Kako kaj tvoj Na'vi?; Notri je. Jake, me slišiš? Me slišiš, Jake?; Me slišiš, Neytiri?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Dovolite mi, Velika mati, v čast mi je, da sem vas spoznal.; Dovolite mi, da jih prepričam.; Izpeljite to ostro in odločno, da bom do večerje doma.; Vidim te, brat, in zahvaljujem se ti.
 Ni slabo, čeprav je nekoliko grobo.; Zenični refleks je dober.; Nisem več pri marincih, ampak nastrojenost ostane.; Kar je verjetno veliko.
 Študiral sem pet let, ampak veliko še se moram naučiti.; Pet let se že učim, a se moram še veliko.; Konji mi ne ležijo preveč, za to pa sem rojen.; Ne potrebujem trota, ki rad strelja.
 Grace, to je Jake Sully. -Gospa.; Grace? To je Jake Sully. –Gospa.; Jake, Eywa te je slišala.; Hej, vidva.
 Vem, kdo si in ne potrebujem te.; Vem, kdo si. Ne potrebujem tebe, ampak tvojega brata.; Brez tebe mi ne bo uspelo.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.
 Potrebujem tvojega brata, saj veste, doktorja znanosti, ki je tri leta treniral za to nalogo...; Ampak če si tu, bi te rad opozoril.; Če dovoliš, bi rad nekaj povedal.; To je zdaj tvoj avatar, Jake.
 Mrtev je.; Mrtev je.; Je že razdražen.; Ne bo preživel.
 Vem, da to za vse tukaj predstavlja neprijetnost.; Sploh mi ni treba braniti.; To ti najbrž ne bo težko.; Lahko bi me zakrpali, če bi šel nazaj.
 Koliko si delal v laboratoriju?; Koliko ur si opravil?; Kdaj si se nazadnje oprhal?; Kaj delaš?
 Nekoč sem seciral žabo.; Se znajdeš v laboratoriju? –Nekoč sem seciral žabo.; Moj prapraded je bil toruk macto.; Videl sem tvojo kartoteko.
 Zdaj vidiš?; Kaj pa si?; Jake, me slišiš?; Me slišiš, Neytiri?
 Lulajo na nas pa niso niti toliko vljudni, da bi rekli, da dežuje.; Tako globoko v Vrtincu nas ne morejo izslediti.; Ker nismo edini, ki letijo tam okrog.; Gotovo nas že opazujejo.
 Grem k Selfridgu. -Ne, Grace!; K Selfridgeu grem. –Ne, Grace.; Pazi! –Pardon.; Hej, vidva.
 To je navadno sranje.; Tako se to dela.; Saj to ni res!; To ni prav.
 Zbrcala bom njegovo podjetniško rit.; Nahrulila ga bom.; Ogledala si bom tega tujca.; Hčerka, vzemi moj lok.
 Nobene pravice nima, da bi vtikal nos v moj oddelek.; Naj se ne vtika v moj oddelek.; Lahko bi me zakrpali, če bi šel nazaj.; Sploh mi ni treba braniti.
 Pridi zjutraj ob osmih.; Pridi.; Pridi.; Pripravi se, 30 sekund.
 Poskusi govoriti učeno.; Naveži stik.; Jutri ob 8.00 bodi tu. Uporabljaj učene besede.; Nadaljuj, umaknil se bo.
 Si videl tole? -Ja, gospod.; Ste videli to? –Da, gospod.; Norm, si v redu? –Ja.; Neverjetno, kaj? –Ja.
 Ne, pa nisi, gledal si na zaslon. Obožujem to palico, Ronnie.; Obožujem to palico. Obožujem to palico.; To je zdaj tvoj avatar, Jake.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
 Parker...; Jake Sully.; Jake.; Grace.
 Mislila sem si, da me namerno zapostavljaš, zdaj pa vidim, da me namerno zajebavaš.; Parker. Včasih sem mislila, da me samo ignoriraš, zdaj pa vidim, da me nalašč zafrkavaš.; Če ne bi prišla, bi bilo po meni.; Pomiri se. Živčno me delaš.
 Grace, uživam v najinih pogovorih...; Grace, uživam v najinih pogovorih.; Zdaj sem s tabo, Jake.; Navsezadnje je moj rojstni dan.
 Potrebujem raziskovalca, ne pa nek vročeglav izmeček.; Raziskovalca rabim, ne odsluženega marinca.; Ne potrebujem trota, ki rad strelja.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Mislim, da smo z njim imeli še kar srečo.; To delo sem dobil, ker se lahko povežem s Tommyjevim.; Mislim, da je čas, da opravimo nalogo.; Nič takega nimamo, kar bi jih mikalo.
 Srečo? -Ja.; Srečo? –Ja.; Ja.; Ja.
 Kako lahko temu rečeš sreča?; Kakšna logika je to?; To bitje … Zakaj si ga pripeljala sem?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Na srečo je imel tvoj človek dvojčka in na srečo ta ni kak zobozdravnik.; Samo hvala bi ti rekel, ker si jih pobila.; Po mojem si ti izdajalci ne zaslužijo zrezka.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 Marinca lahko uporabimo. Tvoji enoti sem ga dodelil kot varnostnika.; Ampak če si tu, bi te rad opozoril.; Prevzel boš puško pri vratih. Eden nam manjka.; Gremo, posebni primer. Ne bom te čakal.
 Zadnje kar potrebujem je še en bedak s prstom na sprožilcu.; Raziskovalca rabim, ne odsluženega marinca.; Kar mravljince dobim.; Nočem na silo hraniti kriplja.
 Ti bo morala osvojiti srca in razum domorodcev, ali ni to glavni cilj tvoje lutkovne predstave?; Ni to namen tvojih lutk?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?; Hej, Sully, kako je, če izdaš lastno raso?
 Izgledaj kot oni, govori kot oni, pa ti bodo začeli zaupati.; Če bomo izgledali in govorili kot oni, nam bodo zaupali.; Lahko ji ukažeš, kaj naj dela.; Povej jim, da bodo kmalu tu.
 Zgradili smo jim šolo, jih naučili našega jezika, ampak po vseh teh letih se naši odnosi z domačini samo slabšajo.; Zgradili smo jim šolo, učimo jih angleško.; Toda po toliko letih so naši odnosi z njimi vedno slabši.; Ko ga bomo uničili, bomo naredili tako veliko luknjo v njihovem kolektivnem spominu, da se temu kraju ne bodo več približali.
 To se dogaja, če na njih uporabljaš avtomatske puške.; To se zgodi, če proti njim uporabiš strojnice.; Zelo težko jih je ubiti.; Sovražnik je tam zunaj in zelo močan je.
 Prav, pridi sem.; Ja. Pridi sem.; Tako je. Steci nazaj k mamici.; Gremo, posebni primer. Ne bom te čakal.
 Zaradi tega smo tukaj, zaradi unobtanija.; Tja bomo šli.; Toda treba je iti tja, kjer so furije.; Ker nismo edini, ki letijo tam okrog.
 Zato, ker se ta siv kamen prodaja po dvajset milijonov za kilogram.; Ker je kila tega vredna 20 milijonov.; Ker dvojček sploh obstaja in ker ni ustni higienik.; Ker nismo edini, ki letijo tam okrog.
 To je edini vzrok. To plačuje celotno zabavo.; Samo zato. To plačuje za vse.; Tako se to dela.; Zakaj jaz? To ni pošteno.
 To plačuje tudi tvojo znanost, razumeš?; Saj ne misliš resno.; Ni to namen tvojih lutk?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Ti divjaki so ogrozili našo celotno operacijo.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.; Vsi v tem oporišču se borimo za preživetje.; Toda po toliko letih so naši odnosi z njimi vedno slabši.
 Smo na robu vojne in ti bi morala najti neko diplomatsko rešitev.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.; Toda po toliko letih so naši odnosi z njimi vedno slabši.; Mislim, da je čas, da opravimo nalogo.
 Zato uporabi, kar imaš in mi prinesi nek rezultat.; Uporabi, kar imaš, in pokaži rezultate.; Če dovoliš, bi rad nekaj povedal.; Potem pa stori to.
 Koliko povezav si opravil?; Koliko ur si opravil?; Kdaj si se nazadnje oprhal?; Kaj delaš?
 Okrog 520 ur. -To je v redu.; V redu je.; V redu je.; Tako se to dela.
 Ti greš tja, ti pa boš tukaj.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.; Sedi, za tvojo varnost gre.; Brez tebe mi ne bo uspelo.
 Koliko povezav pa imaš ti? -Nič.; Nimaš samo ti orožja, prasica.; Dovoliš? To je moj video dnevnik.; Pazi! –Pardon.
 Prebral pa sem navodila.; Nobene. Sem pa prebral navodila.; Sprva sem samo ubogal ukaz.; Videl sem tvojo kartoteko.
 Reci, da se šališ.; Reci, da se šališ.; Poslušaj, kaj ti govori.; Izvoli.
 To je super.; Krasno.; Čudno je.; Prekleto.
 Gremo.; Gremo.; Gremo.; Gremo.
 Nikar, bom že sam.; Ne, bom sam.; Ne, uspelo mi bo.; V redu, grem.
 Torej si mislil, da boš kar šel sem, v najbolj sovražno okolje, kar jih človek pozna brez vsakega treninga in poskusil, kako bo šlo?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?; Kako torej, si našel domačinko in pozabil, za katero ekipo igraš?; Kaj hočeš reči? Si vedel, da se bo to zgodilo?
 Kaj si imel v glavi?; Kaj ti je šlo po glavi?; Kaj delaš?; Kaj še lahko poveš o zgradbi?
 Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.; Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.; Lahko bi me zakrpali, če bi šel nazaj.; Rekel sem si, da lahko opravim vsak test.
 Biometrija je v redu. -Povezava je pripravljena.; Biometrika je v redu. –Link 3 je pripravljen.; Link 3 je pripravljen.; Poveljnik, pripravljeni smo.
 Drži roke noter, dlani obrnjene k sebi.; Roke noter, dlani noter, glavo dol.; Poskusi videti gozd z njenimi očmi.; Pripravi se, 30 sekund.
 Glavo dol.; Glavo dol!; Pazi, vozičkar.; Hej, vidva.
 Sprosti se in pusti, da se ti glava izprazni.; Nadaljuj, umaknil se bo.; Sedi, za tvojo varnost gre.; Potem pa stori to.
 Tebi to ne bi smelo delati težav.; To ti najbrž ne bo težko.; Lahko ji ukažeš, kaj naj dela.; Sploh mi ni treba braniti.
 Poljubi najtemnejši del moje... -Vključi povezavo.; Kušni me na … Vključi link.; Tako ja. Nagni se na levo.; Zavij levo. V linku na koncu boš.
 Zagon programa za enoto tri. -Zaganjam.; Prosim za Eywino pomoč.; Bravo 11, zavij levo.; Tvojo pomoč rabim.
 Imam prve podatke.; Dal si mi uporabne podatke.; To je moj zadnji video dnevnik.; Ujemanje 99 %. Link je stabilen.
 Ti možgani so izjemni. Lepa aktivnost.; To je žalostno. Samo zelo žalostno.; Zdaj je vse obrnjeno. Kot da je tam zunaj resnični svet, to tukaj pa sanje.; To je bilo enkratno.
 Bomo še videli. -Fazna uskladitev 40 procentov.; Link je pripravljen. –Ujemanje 40 %.; Ker je kila tega vredna 20 milijonov.; Tri izmene v Nigeriji, brez praske.
 Noter grem. V številki štiri bom.; Rogue 1 je zadet. Nazaj grem.; V redu, grem.; Dragon na levi. Vračam se domov.
 Fazna uskladitev 99 procentov, povezava je stabilna.; Vsak upravljavec dobi svojega avatarja, da sta njuna živčna sistema usklajena.; Ujemanje 99 %. Link je stabilen.; Link 3 je pripravljen.
 Jake, me slišiš?; Jake, me slišiš?; Me slišiš, Neytiri?; Rogue 1, me slišiš?
 Refleks zenice je v redu.; Zenični refleks je dober.; V redu je.; V redu je.
