sentence1;sentence2
 Ti bo morala osvojiti srca in razum domorodcev, ali ni to glavni cilj tvoje lutkovne predstave?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Izgledaj kot oni, govori kot oni, pa ti bodo začeli zaupati.; Če bomo izgledali in govorili kot oni, nam bodo zaupali.
 Zgradili smo jim šolo, jih naučili našega jezika, ampak po vseh teh letih se naši odnosi z domačini samo slabšajo.; Zgradili smo jim šolo, učimo jih angleško.
 To se dogaja, če na njih uporabljaš avtomatske puške.; To se zgodi, če proti njim uporabiš strojnice.
 Prav, pridi sem.; Ja. Pridi sem.
 Zaradi tega smo tukaj, zaradi unobtanija.; Zaradi tega smo tukaj, zaradi unobtanija.
 Zato, ker se ta siv kamen prodaja po dvajset milijonov za kilogram.; Ker dvojček sploh obstaja in ker ni ustni higienik.
 To je edini vzrok. To plačuje celotno zabavo.; Samo zato. To plačuje za vse.
 To plačuje tudi tvojo znanost, razumeš?; To plačuje tudi tvojo znanost, razumeš?
 Ti divjaki so ogrozili našo celotno operacijo.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.
 Smo na robu vojne in ti bi morala najti neko diplomatsko rešitev.; Ti divjaki ogrožajo našo operacijo, na robu vojne smo in ti naj bi iskala diplomatsko rešitev.
 Zato uporabi, kar imaš in mi prinesi nek rezultat.; Uporabi, kar imaš, in pokaži rezultate.
 Koliko povezav si opravil?; Koliko ur si opravil?
 Okrog 520 ur. -To je v redu.; Okrog 520 ur. -To je v redu.
 Ti greš tja, ti pa boš tukaj.; Ti greš tja, ti pa boš tukaj.
 Koliko povezav pa imaš ti? -Nič.; Koliko povezav pa imaš ti? -Nič.
 Prebral pa sem navodila.; Nobene. Sem pa prebral navodila.
 Reci, da se šališ.; Reci, da se šališ.
 To je super.; To je super.
 Gremo.; Gremo.
 Nikar, bom že sam.; Ne, bom sam.
 Torej si mislil, da boš kar šel sem, v najbolj sovražno okolje, kar jih človek pozna brez vsakega treninga in poskusil, kako bo šlo?; Si mislil, da boš prišel sem, v najbolj sovražno okolje, kar jih poznamo, in videl, kako bo šlo?
 Kaj si imel v glavi?; Kaj ti je šlo po glavi?
 Morda sem imel dovolj zdravnikov, ki so mi govorili, česa vse ne zmorem.; Sit sem bil zdravnikov, ki so mi govorili, česa ne morem.
 Biometrija je v redu. -Povezava je pripravljena.; Biometrika je v redu. –Link 3 je pripravljen.
 Drži roke noter, dlani obrnjene k sebi.; Roke noter, dlani noter, glavo dol.
 Glavo dol.; Glavo dol!
 Sprosti se in pusti, da se ti glava izprazni.; Nadaljuj, umaknil se bo.
 Tebi to ne bi smelo delati težav.; To ti najbrž ne bo težko.
 Poljubi najtemnejši del moje... -Vključi povezavo.; Poljubi najtemnejši del moje... -Vključi povezavo.
 Zagon programa za enoto tri. -Zaganjam.; Prosim za Eywino pomoč.
 Imam prve podatke.; Dal si mi uporabne podatke.
 Ti možgani so izjemni. Lepa aktivnost.; Ti možgani so izjemni. Lepa aktivnost.
 Bomo še videli. -Fazna uskladitev 40 procentov.; Link je pripravljen. –Ujemanje 40 %.
 Noter grem. V številki štiri bom.; V redu, grem.
 Fazna uskladitev 99 procentov, povezava je stabilna.; Ujemanje 99 %. Link je stabilen.
 Jake, me slišiš?; Jake, me slišiš?
 Refleks zenice je v redu.; Zenični refleks je dober.
 Ušesni odziv normalen. Kako se počutiš, Jake?; Slušni odziv normalen. Kako se počutiš, Jake?
 Pozdravljena.; Pozdravljena.
 Dobrodošel v svoje novo telo, Jake. -V redu.; V redu.
 Nadaljevali bomo lepo počasi, Jake.; Začeli bomo lepo počasi.
 Ni problema. -Vidim, da se tega še spomniš.; Upal sem, da boš to rekel.
 Če hočeš sesti je to tudi v redu.; Tako se to dela.
 Kar mirno in počasi, Jake. Ni napadov nestabilnosti, to je v redu.; Sovražnik je tam zunaj in zelo močan je.
 Občutiš vrtoglavico ali slabost?; Čutiš kakšno odrevenelost ali bolečino?
 Lepo premikaš prste. -Dobro, Jake.; Dobro, Jake. –Odlično.
 Nadzor premikanja je v redu.; Zenični refleks je dober.
 Občutiš kako odrevenelost ali bolečino?; Čutiš kakšno odrevenelost ali bolečino?
 Kar mirno, nikar naj se ti ne mudi.; Ne igraj se s tem, oslepel boš.
 Opraviti moramo še nekaj testov premikanja in refleksov.; Še nekaj testov motorike moramo opraviti.
 Zato kar počasi.; Začeli bomo lepo počasi.
 Jake, poslušaj me.; Jake, poslušaj me.
 Jake, hočem da sedeš. -Je že v redu, dobro mi gre.; Poslušaj me. –Vse je v redu. Saj gre.
 Jake, hočem, da sedeš. -Spravita ga nazaj na ležaj.; Jake, takoj sedi. –Spravita ga nazaj na voziček.
 Sesti moraš...; Sesti moraš...
 Uspavaj ga!; Uspavaj ga!
 Tisoč miligramov uspavala, hitro!; Kako je hitro!
 Jake, nisi še navajen svojega avatarskega telesa, to je nevarno.; Nisi vajen svojega avatarja.
 To je krasno. -Daj no, uspavali te bodo.; Jake, poslušaj me. –Daj no. Uspavali te bodo.
 Sedi!; Sedi!
 Daj no, nobenih sposobnosti še nimaš.; Dobro, to še znaš.
 Ni se mi treba niti truditi v obrambi. -Pozdravljena.; Vidim te, brat, in zahvaljujem se ti.
 Je že v redu, za njim grem. -Jake, nazaj noter moraš.; Je že v redu, za njim grem. -Jake, nazaj noter moraš.
 Oprosti.; Oprosti.
 Jake, ne smeš tekati naokrog!; Zbudi se! Jake, zbudi se!
 Oprosti. -Pazi malo!; Oprosti. -Pazi malo!
 Marinec!; Marinec!
 Presneto...; Presneto...
 Grace?; Grace?
 Koga pa si pričakoval?; Koga pa si pričakoval?
 Primi!; Primi!
 Kontrola premikanja izgleda v redu.; Kontrola premikanja izgleda v redu.
 Utihnite zdaj.; Utihnite zdaj.
 Ugašam luči.; Ugašam luči.
 Dajmo Luisa, hop-hop.; Dajmo Luisa, hop-hop.
 Ne igraj se s tem, oslepel boš.; Ne igraj se s tem, oslepel boš.
 To je prav čudno. -Dajmo.; Daj no, to je … –Nehajta.
 Ugašam luči, vidimo se pri večerji, mucke.; Tamle je. Se vidiva pri hangarjih.
 Dobrodošel nazaj.; Dobrodošel v novem telesu.
 Je vse v redu? -Dobro sem.; Si v redu? –Ja.
 Jaz sem Trudy, sem pilotka znanstvenikov.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
 Tole je moj otročiček.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
 Počakaj trenutek.; Počakaj trenutek.
 Wainfleet, opravi že.; Wainfleet, opravi že.
 Ob devetih odrinemo. -Saj delam, kapitan.; Ob 9.00 gremo. –Razumem, kapitan.
 Še vedno ni pritrjen. -Težko opremo imate na krovu.; Scorpion 2H, Peklenski stolp, imate dovoljenje za vzlet.
 Pazi!; Pazi!
 To je zato, ker nismo edini, ki letamo naokrog.; Ker nismo edini, ki letijo tam okrog.
 Pa tudi največji ne.; Pa tudi največji ne.
 Potrebujem pa te na orožju ob vratih, manjka mi član posadke.; Ampak če si tu, bi te rad opozoril.
 Mislil sem, da ne boš nikoli rekla.; Upal sem, da boš to rekel.
 Tega iščeš. Vidiva se na vzletni stezi.; Tega iščeš. Vidiva se na vzletni stezi.
 Hoteli ste me videti, polkovnik?; Ste me iskali, polkovnik?
 Ta nizka težnost te oslabi.; Ta nizka težnost te oslabi.
 Če oslabiš te bo Pandora ubila brez vsakega opozorila.; In če oslabiš, te Pandora brez opozorila ubije.
 Pogledal sem tvojo kartoteko, desetar.; Videl sem tvojo kartoteko.
 Venezuela, to je bilo grdo okolje.; Ampak to je bila le teorija.
 Ampak ne kot to tukaj.; Ampak ne tako kot tu.
 Imaš pa kar nekaj poguma, da si prišel v to soseščino.; Zdaj pa je čas, da se vrneš.
 To je samo še ena peklenska luknja. -Sam sem bil najprej izvidnik.; Sprva sem samo ubogal ukaz.
 Nekaj let pred teboj, morda več kot samo nekaj let.; Nekaj let pred tabo. Ali pa več.
 Trikrat sem bil v Nigeriji pa nisem dobil niti praske.; Če bi bil na pripravah, bi to vedel.
 Potem sem prišel sem in prvi dan sem bil kot oskuben piščanec.; Ko pa sem prišel sem … Že prvi dan. Počutil sem se kot bedak.
 To mi lahko popravijo, ko se bom vračal nazaj.; Lahko se bom dogovoril o selitvi.
 Lahko me naredijo zopet lepega.; Lahko me naredijo zopet lepega.
 Ampak veš kaj, na nek način mi je všeč.; Da bi bil spet lep. Ampak všeč mi je tako.
 Vsak dan me opominja, kaj me pričakuje zunaj.; Opominja me na to, kaj je tam zunaj.
 Program avatar je samo slaba šala.; To je moj zadnji video dnevnik.
 Kopica debelušnih znanstvenikov.; Kopica debelušnih znanstvenikov.
 Vseeno pa predstavlja priložnost, enkratno priložnost ob pravem času. Umik!; Vseeno pa predstavlja priložnost, enkratno priložnost ob pravem času. Umik!
 Izvidnik v telesu avatarja.; Izvidnik v avatarskem telesu. Močna kombinacija.
 To je nevarna mešanica, kurjo polt dobim zraven.; To je nevarna mešanica, kurjo polt dobim zraven.
 Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.; Tak marinec bi lahko pridobil informacije na terenu.
 Naravnost iz tabora sovražnikov.; Naravnost iz tabora sovražnikov.
 Sully, hočem, da proučiš te divjake od znotraj, hočem, da si pridobiš njihovo zaupanje.; Ampak če si tu, bi te rad opozoril.
 Hočem jih prisiliti v sodelovanje ali pa uničiti, če ne bodo hoteli.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Bom še podrejen Augustine? -Vsaj uradno.; Bom še podrejen Augustine? -Vsaj uradno.
 Hodil boš naokrog, kot se ji bo zahotelo, kvakal kot znanstvenik, poročal pa boš meni.; Če se boš izkazal, ti bom priskrbel noge.
 Lahko to narediš zame, sinko?; Boš naredil to zame?
 Seveda, gospod.; Zveni dobro, gospod.
 Potem je v redu.; V redu.
 Sinko, jaz poskrbim za svoje.; Jaz poskrbim za svoje ljudi.
 Priskrbi mi, kar potrebujem, pa bom poskrbel, da dobiš nazaj svoje noge, ko boš šel domov.; Če se boš izkazal, ti bom priskrbel noge.
 Resnične noge.; Prave noge.
 To je slišati krasno, gospod.; Zveni dobro, gospod.
 Povezava pripravljena.; Povezava pripravljena.
 Usta drži zaprta in pusti Norma, da bo govoril.; Iti mora skozi Eywino oko in se vrniti.
 V redu, gremo.; V redu, grem.
 Ugasni ga, nekaj časa bomo tukaj.; Ugasni motorje. Nekaj časa bomo ostali.
 Norm, tvoj nahrbtnik.; Norm, tvoj nahrbtnik.
 Ostani pri letalu.; Ostani pri ladji. En tepec s puško je dovolj.
 En bedak s puško je dovolj.; Kdo je nevaren? Tako je.
 Vi ukazujete, doktorca.; Vi ukazujete, doktorca.
 Prolemurji, niso napadalni.; Prolemurji. Niso napadalni.
 Sprosti se, marinec, delaš me živčno.; Pomiri se. Živčno me delaš.
 Kako bodo vedeli, da smo tukaj? -Prepričana sem, da nas že opazujejo.; Gotovo nas že opazujejo.
 Naprej, Norm. -Gremo, fanta.; Naprej, Norm. -Gremo, fanta.
 Začenjam. -Skeniram.; Začenjam. -Skeniram.
 Tako hitro?; Tako hitro?
 Osupljivo, ali ne?; Osupljivo, ali ne?
 To je prenos podatkov iz te korenine v korenino sosednjega drevesa.; To je več povezav kot v človeških možganih.
 Morali bi vzeti vzorec.; Morali bi videti svoje obraze.
 Glede na hitrost reakcije je verjetno električno.; Po hitrosti sodeč je električno.
 Norm, vzorec si okužil s svojo slino.; Zdaj si sin Omaticaye.
 Ne streljaj, samo razjezil ga boš.; Ne streljaj. Ne streljaj! Razdražil ga boš.
 Je že jezen.; Je že razdražen.
 Jake, oklep ima predebel, kar zaupaj mi.; Predebel oklep ima. Verjemi mi.
 Samo svoje ozemlje brani, ne beži, ker te bo napadel.; Samo hvala bi ti rekel, ker si jih pobila.
 Kaj pa naj naredim? Naj zapleševa?; Kako je pa s tem? Naj tečem ali ne?
 Samo na miru bodi.; Samo na miru bodi.
 Dajmo, pokaži kaj imaš!; Dajmo, pokaži kaj imaš!
 Kdo je zloben? Tako je prav.; Kdo je nevaren? Tako je.
 O tem ti govorim, prasec.; Saj ti je že.
 Tako je prav, beži nazaj k mami.; Tako je. Steci nazaj k mamici.
 Ničesar nimaš, kar beži. Drugič pripelji še kaj prijateljev.; In pripelji še prijatelje.
 Kaj pa naj s tem? Naj bežim ali ne, kaj?; Kako je pa s tem? Naj tečem ali ne?
 Beži, vsekakor beži!; Beži, vsekakor beži!
 Prenehati moramo, ponoči ne smemo ostati zunaj.; Ponoči ne smemo biti zunaj.
 Oprostite, doktorica, moral bo počakati do jutri.; Žal mi je. Počakati bo moral to jutra.
 Do jutri ne bo preživel.; Ne bo preživel.
 Nimam časa celo prekleto noč.; Nimam časa vso noč.
 Pridite!; Pridite!
 Čakaj, nikar!; Čakaj, nikar!
 Krasno.; Krasno.
 Vem, da me verjetno ne razumeš.; Saj ne misliš resno.
 Ampak...; Ampak...
 Hvala.; Hvala.
 Hvala.; Hvala.
 To je res naredilo vtis.; To je bilo enkratno.
 Z menoj bi bilo konec, če ne bi prišla zraven.; Če ne bi prišla, bi bilo po meni.
 Čakaj trenutek, kam greš?; Čakaj trenutek, kam greš?
 Čakaj.; Čakaj.
 Počasneje.; Počasneje.
 Hotel sem se ti samo zahvaliti, da si pobila te stvore...; Samo hvala bi ti rekel, ker si jih pobila.
 Ne zahvaljuj se.; Ne napadaj.
 Za to se ne zahvaljuj.; Za to ne rečeš hvala.
 To je žalostno.; To je dejstvo.
 Samo zelo žalostno.; To je žalostno. Samo zelo žalostno.
 Prav, žal mi je.; V redu. Žal mi je.
 Karkoli sem že naredil, žal mi je.; Karkoli sem že naredil, mi je žal.
 Za vse to si ti kriv, ne bi jim bilo treba umreti.; Ti si kriv. Ne bi jim bilo treba umreti.
 Jaz sem kriv? Oni so napadli mene, kako to, da sem zdaj jaz zlobnež?; Jaz sem kriv? Zakaj? Oni so napadli.
 Ti si kriv! -Počasi.; Ti si kriv. –Počasi.
 Si kot majhen otrok, tako glasen, ne veš, kaj bi naredil.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
 Če imaš tako rada svoje majhne gozdne prijateljčke, zakaj jih nisi potem pustila, da bi me ubili?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
 Kaj si mislila?; Kaj pa si?
 Zakaj sem te rešila? -Zakaj si me rešila.; Zakaj sem te rešila? –Ja. Zakaj si me rešila?
 Močno srce imaš.; Močno srce imaš.
 Nič strahu.; Nič strahu.
 Ampak neumen, neveden kot otrok.; Ampak neumen. Neveden kot otrok.
 Če sem kot otrok bi me lahko morda učila.; Če sem kot otrok, bi me morala podučiti.
 Ljudje iz nebes se ne morejo učiti, ne vidijo. -Nauči me, kako videti.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Nihče te ne more naučiti videti.; Ljudje z neba se ne morejo naučiti, ker ne vidijo.
 Daj no, se lahko pogovoriva?; Daj no, se lahko pogovoriva?
 Kje si se naučila našega jezika?; Kje si se naučila angleško? V šoli dr. Augustinove?
 V šoli dr. Augustine?; Kje si se naučila angleško? V šoli dr. Augustinove?
 Kot otrok si.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
 Potrebujem tvojo pomoč.; Vendar potrebujem pomoč.
 Ne bi smel biti tukaj.; Ampak če si tu, bi te rad opozoril.
 Prav, vzemi me s seboj. -Ne, pojdi nazaj.; Pa me vzemi s sabo. –Ne. Pojdi nazaj.
 Ne.; Ne.
 Pojdi nazaj.; Pojdi nazaj.
 Kaj je to?; Kaj je bilo to?
 Semena svetega drevesa.; Semena svetega drevesa.
