-Kako to napravim?;-O čem pa govoriš?;-A se hecaš?;-Mar govorita o sanjanju?
Ker sem najspretnejši izvlačitelj, vem, kako preiskati vaš um in kako najti vaše skrivnosti.;Ker sem najspretnejši izvlačitelj, vem, kako preiskati vaš um in kako najti vaše skrivnosti.;Da ste opravili nalogo vem lahko le, če sem z vami.;Tako je, če želite mojo pomoč, se mi morate povsem odpreti.
Zvijače so mi znane, in, lahko vas naučim, da celo v snu vaša obramba ne odpove.;Zvijače so mi znane in lahko vas naučim, da celo v spanju vaša obramba ne odpove.;Ker sem najspretnejši izvlačitelj, vem, kako preiskati vaš um in kako najti vaše skrivnosti.;A ideja ni vaša, ker veste, da sem vam jo dal jaz.
"Takole je; če želite mojo pomoč, se mi morate povsem odpreti.";Tako je, če želite mojo pomoč, se mi morate povsem odpreti.;Če hočete mojo pomoč, morate ostati mirni.;A ideja ni vaša, ker veste, da sem vam jo dal jaz.
Vaše mišljenje mi mora biti bolj poznano kot vaši ženi, bolj kot vašemu terapevtu, bolje kot komurkoli.;Vaše mišljenje mi mora biti bolj poznano kot vaši ženi, bolj kot vašemu terapevtu, bolje kot komurkoli.;Tako je, če želite mojo pomoč, se mi morate povsem odpreti.;Ker sem najspretnejši izvlačitelj, vem, kako preiskati vaš um in kako najti vaše skrivnosti.
Če gre za sanje in imate sef poln skrivnosti, moram poznati njegovo vsebino.;Če gre za sanje in imate sef poln skrivnosti, moram poznati njegovo vsebino.;Da vsa stvar funkcionira, me morate povsem spustiti noter.;Preden opišem posel, moram vedeti, če si ga zmožna.
Da vsa stvar funkcionira, me morate povsem spustiti noter.;Da vsa stvar funkcionira, me morate povsem spustiti noter.;Verjemite mi, s tem se ukvarjam.;Torej me na mojem cilju lahko spustite ven.
"Prijeten večer, gospodje; bom razmislil o vašem predlogu.";Prijeten večer gospodje, bom razmislil o vašem predlogu.;Izkazali ste se vrednega svojega slovesa, gospod Cobb.;Na vašem mestu ne bi storil tega, gospod Fischer.
Ve.;Ve.;Spi.;Saito ve.
Kaj se dogaja tam zgoraj?;Kaj se dogaja tam zgoraj?;Kaj se dogaja?;Kaj se dogaja?
Saito ve.;Saito ve.;Saito?;Saito?
Igra se z nami.;Igra se z nami.;Čas je, da izginemo.;Ni kot ti.
Pa saj ni važno.;Pa saj ni važno.;Saj ni važno.;Saj ni važno!
Lahko izvlečem.;Lahko izvlečem.;Veš, kaj ponujam.;To je že bolje.
Zaupaj mi.;Zaupaj mi.;Poslušaj me.;Ostani mirna.
Informacije so v sefu.;Informacije so v sefu.;Izvlekli smo vse razpoložljive informacije.;Som vodja vašega varovanja tukaj.
V trenutku, ko sem omenil »skrivnosti«, se je ozrl vanj.;V trenutku, ko sem omenil skrivnosti, se je ozrl vanj.;Me je poklical k svoji smrtni postelji.;A se je potrudil, da mi je rekel še poslednjo stvar.
Čemu pa ona tule?;Čemu pa ona tule?;Kaj pa ti?;Mal, kaj počneš tu?
Vrni se v sobo, prav?;Vrni se v sobo, prav?;Odvedi Fischerja s sabo, prav?;Vrni se... Bi vročo brisačko, gospod?
Poskrbel bom za tole.;Poskrbel bom za tole.;Prišel sem vas zaščititi.;Spomnite se, kaj sem vam rekel.
Kar, le daj.;Kar, le daj.;Daj že.;Poslušaj se vendar.
Prišli smo delat.;Prišli smo delat.;Skoraj smo že opravili.;Zdaj že vedo, da nam je spodletelo.
Če skočim ... bom preživela?;Bom preživela?;Če skočiš, se ne prebudiš?;Tiralica na mojo glavo, me hočejo mrtvega ali živega?
Z brezhibnim skokom na glavo morda.;Z brezhibnim skokom na glavo morda.;Bilo bi mogoče.;Če skočim...
Mal, kaj počneš tu?;Mal, kaj počneš tu?;Kaj počneš tu?;Kaj počneš?
Menila sem, da me morda pogrešaš.;Mislila sem, da me morda pogrešaš.;Vedel sem, da je nekaj narobe z njo.;Ker nisi vprašala, če sem jo res.
"Saj veš kako mi je; a ne morem ti več zaupati.";Saj veš kako mi je, a ne morem ti več zaupati.;Saj veš, da tega ne morem storiti.;Žal mi je zaradi tvoje noge, ne bo se ponovilo.
Kaj torej?;Kaj torej?;Kaj zdaj?;Tako torej?
Primerna je Arthurjovemu okusu.;Primerna je Arthurjovemu okusu.;Tam te potrebujemo zaradi zmesi, prilagojenih našim potrebam.;Uporabljam ga vsak dan.
Pravzaprav je dotični deloma naklonjen britanskim slikarjem.;Pravzaprav je dotični deloma naklonjen britanskim slikarjem.;To je Fischerjeva predstavitev Browninga.;Upajmo, da bo Fischerju všeč, kar bo našel tam notri.
Prosim, usedi se.;Prosim, usedi se.;Prosim te.;Pokaži mi totem.
Povej mi ... me otroka pogrešata?;Me otroka pogrešata?;Tiralica na mojo glavo, me hočejo mrtvega ali živega?;Če ostanem tu, mu boš pustila oditi?
Pa še kako.;Pa še kako.;No, pa ni.;Pa saj ni važno.
Kaj izvajaš?;Kako ga še izvajaš?;Kaj delaš?;Kaj delaš tukaj?
-Na svež zrak grem.;-Na svež zrak grem.;-Odhajam.;-Greva nekaj popit.
Ne mrdaj, Mal.;Pokaži mi totem.;Pozabi.;Pojdi, pojdi.
Preklet hudič.;Preklet hudič.;Bog, zakaj se je tako težko spomniti.;Samo presneto težka.
Obrni se.;Obrni se.;Pomiri se.;Vrni se.
-Odloži pištolo.;-Odloži pištolo.;-To imej prižgano.;-Odhajam.
Prosim.;Prosim.;Prosim te.;Prosim, usedi se.
In zdaj kuverto, gospod Cobb.;In zdaj kuverto, gospod Cobb.;Povejte mu, gospod Cobb.;Poskrbel bom za tole.
Vam je povedala?;Vam je povedala?;Kaj se ti je zgodilo?;To se ti je zgodilo?
Ali pa že vseskozi veste?;Ali pa že vseskozi veste?;Ste to že počeli?;Morda pa ne želite videti.
Da si me prišel okrast, ali, da pravzaprav spimo?;Da si me prišel oropati, ali, da pravzaprav spimo?;Sva se, se ne spomniš?;Sem se vrneva?
Ime tvojega delodajalca hočem.;Ime tvojega delodajalca hočem.;Veš kako me najti.;To pomeni, da ga moram najti.
Grožnje v sanjanju so nesmiselne, kajne, Mal?;Grožnje v sanjanju so nesmiselne, kajne Mal?;Saito ne bo preživel, kajne?;Nikoli niso le sanje, kajne?
Odvisno kaj ogrožaš.;Odvisno kaj ogrožaš.;Zavestno ustvariš vsak vidik.;Veš, kaj moraš storiti.
Ubijanje ga bo pač le prebudilo.;Ubijanje ga bo pač le prebudilo.;Torej si bo sam izmislil idejo.;Zdaj bo v takšnem vremenu gotovo iskal taksi.
A bolečina ... Bolečina je doumljiva, in sodeč po dekorju, smo v tvojem umu.;A bolečina... Bolečina je doumljiva, in sodeč po dekorju, smo v tvojem umu.;In resnice, da čedalje globlje prodiramo v Fisherja, gremo tudi globlje v tebe.;Zraste lahko, da te opredeli... Ali uniči.
Drži, Arthur?;Drži, Arthur?;Ja, halo?;Očka?
Kaj počneš?!;Kaj počneš?!;Kaj?!;Kaj počneš?
Prezgodaj je še.;Prezgodaj je še.;Ne, prezgodaj je še.;To je že bolje.
-Vem.;-Vem.;-Vem.;-V redu.
Ampak, sanje so se sfižile.;Ampak, sanje so se zmešale.;Čas je potekel.;Sanje so postale njihova resničnost.
Saita skušam še malce zadržati v snu.;Saita skušam še malce zadržati v spanju.;Moj glavni tekmec je bolehen starček.;Mislim, da sem našel pot domov.
Skoraj smo že opravili.;Skoraj smo že opravili.;Uro časa imamo.;Prišli smo delat.
Ta prostor ...;Ta prostor...;Realnost...;To je...
Slike ... Ustavite ga!;Slike... Ustavite ga!;Umaknite se!;Prebudi ga!
ZAUPNO Mislim, da se bo izšlo.;ZAUPNO Mislim, da se bo izšlo.;Eames, navdušen sem.;Kljub temu bom spoštoval dogovor.
Prebudi ga!;Prebudi ga!;Zbudi se!;Sproži alarm!
Zbudi se!;Zbudi se!;Prebudi ga!;Sproži alarm!
Suni ga!;Suni ga!;Taksi!;-Saito?
-Kaj?;-Kaj?;-Kaj?;-Kako kaj?
Prevrni ga.;Prevrni ga.;Spravi ga tja noter.;Zapusti mesto.
Onesvestil se je.;In komaj je govoril.;Izdal je.;Ni se mogla osvoboditi.
Prišel ste pripravljen, a?;Prišel ste pripravljen, a?;Kdo ste, da pravite drugače, a?;Ste nared?
Niti vodja mojih varnostnikov ne pozna tega stanovanja.;Niti vodja mojih varnostnikov ne pozna tega stanovanja.;V tej sobi ni prostora za razmišljanje.;Odnos tega fanta z očetom je še slabši, kot smo si mislili.
Le kako ste ga našli?;Le kako ste ga našli?;Kako to mislite?;Govorite o izvlačenju?
Človeku na vašem položaju je zelo težko prikriti takšno ljubezensko gnezdece.;Človeku na vašem položaju je zelo težko prikriti takšno ljubezensko gnezdece.;A vaše prevare so očitne.;Limbo bo postal vaša realnost.
posebno, če je vpletena poročena ženska.;Posebno, če je vpletena poročena ženska.;"Temu se reče ""izvlek"".";Potrebna so leta urjenja.
-Ona ne bi nikdar ... Evo, pa smo tu.;-Ona ne bi nikdar... No, pa smo tu.;-Gremo, gremo, ajde, dajmo!;-Dobro, ker je tule.
Pri dvomih.;Pri dvomih.;Kot odkrivanje.;O tem, kaj je resnično.
-Približujejo se.;-Približujejo se.;-Na svež zrak grem.;-Slišal sem jih.
Imate, po kar ste prišli.;Imate, po kar ste prišli.;Ne morete ga imeti.;Torej imate izbiro.
-No ja, ne bo držalo.;-No ja, ne bo držalo.;-Ja, morda pa ne.;-Ni res.
Prepustili ste ključni del informacije, ni tako?;Prepustili ste ključni del informacije, ni tako?;Kdo ste, da pravite drugače, a?;Prišel ste pripravljen, a?
A nekaj zadržujete, ker poznate našo namero.;A nekaj zadržujete, ker poznate našo namero.;Verjetno vam je padlo.;A vaše prevare so očitne.
Vprašanje je, čemu ste nam sploh dopustili?;Vprašanje je, zakaj ste nam sploh dopustili?;Mar nismo zato tukaj, da ugotovimo?;Zakaj hudiča so nas napadli?
Preizkusni nastop.;Preizkusni nastop.;Čista stvaritev.;Podzavestno varovanje.
-Poizkus za kaj?;-Poizkus za kaj?;-Za kaj?;-Čemu ne?
Nima veze.;Ni važno.;Ne, draga.;Ni problema.
Niste opravili.;Niste opravili.;Verjetno vam je padlo.;Imate, po kar ste prišli.
Izvlekli smo vse razpoložljive informacije.;Izvlekli smo vse razpoložljive informacije.;Opravili bomo z g. Charlesom, kot smo tri tistem poslu.;Informacije so v sefu.
A vaše prevare so očitne.;A vaše prevare so očitne.;Verjetno vam je padlo.;Limbo bo postal vaša realnost.
Zato me pustite na miru.;Zato me pustite pri miru.;Pustite me!;Torej vam ponujam zadoščenje.
Zgleda, da ne razumete, gospod Saito.;Izgleda, da ne razumete, gospod Saito.;Pri takšnem poslu ni prostora za turiste, gospod Saito.;To že, a poglejte, gospod Saito...
Korporacija, ki nas je najela ... ne sprejme spodrsljaja.;Korporacija, ki nas je najela... ne sprejme spodrsljaja.;Večji so problemi, močnejša je katarza.;Ne rabimo le tatu.
Ne bomo preživeli dveh dni.;Ne bomo preživeli dveh dni.;Nimamo časa.;Nimamo časa.
Cobb?;Cobb?;Cobb?;Cobb?
Zgleda, da bom moral opraviti nekoliko preprosteje.;Izgleda, da bom moral opraviti nekoliko preprosteje.;Morava si izmisliti nekakšen trzaj.;Kar še ne pomeni, da ne poznaš kombinacije.
Povejte, kar veste!;Povejte, kar veste!;Obrnite se!;Poskusite.
Povej nam, kar veste.;Povej nam, kar veste.;Povej kakšna je.;Objasni jim ga.
Takoj!;Takoj!;Takoj!;Takoj!
Od nekdaj sovražim tole preprogo.;Od nekdaj sovražim tole preprogo.;Veliko se mi moti po glavi.;No, pa saj veste o čem govorim.
"Zamazana je in tako opazno oguljena; na način, kot pač pritiče volni.";Zamazana je in tako opazno oguljena.;Ampak zagotovo narejena iz volne.;Tam spodaj mu lahko damo njegov trzaj.
Zdaj pa ... ležim na poliestru.;Zdaj pa... Ležim na poliestru.;Saj že spim.;Torej... Ja, jaz... Obdelujem svoj totem.
Kar pomeni, da ne ležim na lastni preprogi v svojem stanovanju.;Kar pomeni, da ne ležim na lastni preprogi v svojem stanovanju.;To pomeni, da ga moram najti.;V resničnem svetu bi lahko izbirala, tukaj pa ne.
Izkazali ste se vrednega svojega slovesa, gospod Cobb.;Izkazali ste se vrednega svojega slovesa, gospod Cobb.;Povejte mu, gospod Cobb.;Na vašem mestu ne bi storil tega, gospod Fischer.
Še vedno sanjam.;Še vedno sanjam.;Vem, da sem.;To so moje sanje.
Kako je šlo?;Kako je šlo?;Kako mu gre?;Kaj se je zgodilo?
-Brez zaslužka.;-Brez zaslužka.;-Zaradi kombija.;-Potem vlomiš in jih ukradeš.
Sanje znotraj sanj, a?;Sanje znotraj sanj, a?;Sanje znotraj sanj?;Sanje znotraj sanj?
Navdušen sem.;Navdušen sem.;Eames, navdušen sem.;Pripravljen sem.
A v mojih sanjah igrate po mojih pravilih.;A v mojih sanjah igrate po mojih pravilih.;A ideja ni vaša, ker veste, da sem vam jo dal jaz.;Od mene hočete saditev.
To že, a poglejte, gospod Saito ...;To že, a poglejte, gospod Saito...;Pri takšnem poslu ni prostora za turiste, gospod Saito.;Izgleda, da ne razumete, gospod Saito.
Nismo v vaših sanjah.;Nismo v vaših sanjah.;Ne bomo preživeli dveh dni.;Čas je, da izginemo.
-V mojih smo.;-V mojih smo.;-Na kupe je dobrih tatov.;-Tako je.
Kreten.;Kreten.;Trzaj.;Trakulja?
Kako, da si zamočil s preprogo?;Kako, da si zamočil s preprogo?;Kako to, da ti ni pomembno, kam te bo vlak odpeljal?;Kaj, da je bil razočaran?
Ni bila moja napaka.;Ni bila moja napaka.;To nima veze z mano.;Jaz sem silil v to.
-Ti si arhitekt.;-Ti si arhitekt.;-Motiš se.;-Tako je.
Nisem vedel, da bo drgnil svoj frdamani fris obnjo.;Nisem vedel, da bo drgnil svojo prekleto glavo ob njo.;Položil sem mu jo ob posteljo, niti opazil je ni.;Vedel sem, da je nekaj narobe z njo.
-Dovolj bo.;-Dovolj bo.;-Ne bo se.;-Živjo, očka.
Ej ti,kaj je bil to za en vrag?;Ej ti, kaj je bil to za en vrag?;Pa ti, vedel si za to in nič zinil?;Mojbog, pa kaj si res ti?
-Vse sem imel pod nadzorom.;-Vse sem imel pod nadzorom.;-Nobene kombinacije ne poznam.;-Zaščititi moram svoje vloge.
Ne bi rad videl kako zgleda brez nadzora.;Nočem videti kako izgleda brez nadzora.;Nisem še videl, da bi kdo tako hitro dojel.;Ne bi bil tukaj, če bi poznal kakšen drug način.
-Jaz... nimamo časa za tole.;-Mal, prekleto, ne počni tega.;-Ne, ti greš z mano.;-No ja, ne bo držalo.
Izstopim v Kyotu.;Izstopim v Kyotu.;Trenutno sva v hotelu.;Sledimo Fischerju tja dol.
Zakaj?;Zakaj?;Zakaj?;Zakaj?
Saj ne bo pregledal vseh kupejev.;Saj ne bo pregledal vseh kupejev.;Zdaj bo v takšnem vremenu gotovo iskal taksi.;Ne, če je njegovo letalo na nepričakovanem popravilu.
-Vem.;-Vem.;-Vem.;-V redu.
Ne maram vlakov.;Ne maram vlakov.;Od nekdaj sovražim tole preprogo.;Veliko se mi moti po glavi.
Poslušajte ... Vsak naj se sam znajde.;Naj se sami odločijo.;Saj dovolite.;Skušajte se jo spomniti zame.
Ja, halo?;Ja, halo?;Vidiš?;Vidiš?
-Živjo, ati.;-Velja.;-Trzaj.;-Izvoli, povej.
Živjo, očka.;Živjo, očka.;Živjo.;Živjo, otroka.
Hoj, mulčka.;Hej, otročička.;Vidiš?;Vidiš?
Kako sta?;Kako sta?;Kako sta?;Ja, halo?
Kaj počneta, a?;Mal, kaj počneš tu?;Kaj počneta?;Kaj počneš tu?
Dobro.;Dobro.;Dobro.;Ja, mislim da.
-Bi rekel, da v redu.;-Bi rekel, da v redu.;-Ja, v redu.;-Dobro, ker je tule.
V redu?;V redu?;V redu.;V redu.
Kdo je le v redu?;Kdo je le v redu?;Kdo so ti ljudje?;Kdo bi rad v sanjah obtičal 10 let?
Ti, James?;Ti, James?;Gospod Charles?;Stric Peter?
Ja.;Ja.;Ja.;Ja.
Kdaj prideš domov, očka?;Kdaj prideš domov, očka?;Kdaj me boš odpeljal tja?;Boš čakal?
Oh, ne morem, ljubček.;Oh, ne morem, ljubček.;Mal mi ne dovoli.;Saj že spim.
Ne morem.;Ne morem.;Ne morem.;Ne ne bom.
Vsaj še nekaj časa ne, se spomniš?;Vsaj še nekaj časa ne, se spomniš?;Sedaj ne sanjaš, kaj?;Boš čakal?
-Zakaj?;-Zakaj?;-Zakaj pa?;-Čemu to počnejo?
Lej, povedal sem ti.;Poglej, povedal sem ti.;Veš, kaj moram storiti.;Ne počni tega, Mal, prosim te.
Ni me, ker delam, ja?;Ni me, ker delam, v redu?;Ljubica, kaj se greš?;Ej, bo šlo?
Babica pravi, da se ne boš nikoli vrnil.;Babica pravi, da se ne boš nikoli vrnil.;Če grem brez tebe, jih bodo vseeno odvedli.;Vem, kako si želiš domov.
Phillipa, si to ti?;Phillipa, si to ti?;Ja, halo?;Vidiš?
Mi daš babico na telefon?;Mi daš babico na telefon?;Ti ne greš noter?;Imaš prvo pomoč?
Odkimava.;Odkimava.;Laže.;Trzaj.
Upajmo le, da se moti.;Upajmo le, da se moti.;Upajmo, da bo Fischerju všeč, kar bo našel tam notri.;Ubijanje ga bo pač le prebudilo.
Ati?;Eamesa?;Limbo?;Tam!
-Ja, James?;-Ja, James?;-Aja?;-A se hecaš?
Je mamica s tabo?;Je mamica s tabo?;Mi daš babico na telefon?;Ti ne greš noter?
James, govorili smo o tem.;James, govorili smo o tem.;Pomeniva se o tem.;Poglej, povedal sem ti.
Mamice ni več tukaj.;Mamice ni več tukaj.;Babica pravi, da se ne boš nikoli vrnil.;Nič ti ni.
Kje?;Kje?;Tam zunaj?;In kje je?
Zadosti, otroka.;Dovolj, otroka.;Živjo, otroka.;Kot odkrivanje.
Poslovita se.;Poslovita se.;Pomiri se.;Proč od nje.
Po dedku vama pošljem nekaj daril, velja?;Po dedku vama pošljem nekaj daril, velja?;Sem se vrneva?;Gospodje, vam smem postreči pijačo?
Pridna bodita, pa ... Naš prevoz je na strehi.;Pridna bodita, pa... Naš prevoz je na strehi.;Eno uro imaš in prosim te, prinesi nam kaj uporabnega.;Strica Petra... O, mojbog, bila sva ugrabljena.
-Prav.;-Prav.;-Prav.;-Ja, v redu.
A si dobro?;Si dobro?;Vidiš?;Vidiš?
-Ja, v redu.;-Ja, v redu.;-No ja, ne bo držalo.;-V redu.
Zakaj?;Zakaj?;Zakaj?;Zakaj?
Blokada v sajah, pojavi se je Mal ...;Blokada v sajah, Mal se je pojavil...;Če skočim...;Če izve Mal...
Bil sem ji kos.;Bil sem ji kos.;Ta je bil njen.;Jaz bi zmogel.
Žal mi je zaradi tvoje noge.;Žal mi je zaradi tvoje noge, ne bo se ponovilo.;Saj veš kako mi je, a ne morem ti več zaupati.;Žal mi je, Robert.
Ne bo se ponovilo.;Tukaj bo.;To je že bolje.;Ne bo.
Čedalje slabše je, kajne?;Čedalje slabše je, kajne?;Kar pa sploh ni res, kajne?;Nikoli niso le sanje, kajne?
-Ti opravičilo ni zadosti, Arthur?;-Ti opravičilo ni dovolj, Arthur?;-Mar ne opaziš razlike?;-Delam na tem, mar ne?
Kje je Nash?;Kje je Nash?;Kdo je ta vir?;Kje si ta hip?
-Ni se prikazal.;-Ni se prikazal.;-Ne, ne bo se prebudil.;-Noče mi povedati.
Boš čakal?;Boš čakal?;Kako boš vedel?;Si to že počel?
Ne, Saitove načrte širitve bi moral Cobolu izročiti že pred dvema urama.;Ne, Saitove načrte širitve bi moral Cobolu izročiti že pred dvema urama.;Za to misijo bi morali Fisherju računati veliko veš kot pa Saitu.;Mišljeno je bilo, da temeljito preveriš Fischerjevo ozadje!
Zdaj že vedo, da nam je spodletelo.;Zdaj že vedo, da nam je spodletelo.;Če bo prezgodaj, se ne bomo izvlekli.;Videti je, da smo si pridobili svojih 10 ur.
Čas je, da izginemo.;Čas je, da izginemo.;Ne moremo se več kosati.;Vsega je konec.
Kam boš krenil?;Kam boš krenil?;Kje boš ti?;Kje si ta hip?
-V Buenos Aires.;-V Buenos Aires.;Kavo.;-No...
Pritajil se bom, morda se izmuznem, ko se zadeve poležejo.;Pritajil se bom, morda se izmuznem, ko se zadeve poležejo.;Verjemite mi, s tem se ukvarjam.;Ne bom metal stran svojega nasledstva.
Ti?;Ti?;Očka?;Zagrenjen?
-Združene države.;-Tako kot »saditve«.;-Zadnji kraj, ki jim bo sumljiv.;-Cobol inženirstvo.
Pozdravi jih.;Pozdravi jih.;Pridruži se mi.;Objasni jim ga.
Izdal je.;Izdal je.;Izdal si me.;Za tabo.
Očita si in moleduje za svoje življenje.;Očita si in moleduje za svoje življenje.;Opominja me na resnico.;Nihče ne mara, da mu nekdo drug išče po umu.
Torej vam ponujam zadoščenje.;Torej vam ponujam zadoščenje.;To vam zagotavljam.;Veseli me, da vas spet vidim.
Stvari ne urejam na tak način.;Stvari ne urejam na tak način.;To nima veze z mano.;Tukaj ne voham pogodbe.
Kaj mu boste storili?;Kaj mu boste storili?;Kaj zdaj?;Lahko to storite?
-Nič.;-Nič.;-Jaz ne.;-Pravzaprav ne.
Ne morem pa reči v imenu Cobol inženirstva.;Ne morem pa reči v imenu Cobol inženirstva.;Tega ni v mojem načrtu.;Nisem prepričan, da je potrebno.
Kaj hočete od nas?;Kaj hočete od nas?;Kaj bi še radi?;Zakaj hudiča so nas napadli?
-»Saditev«.;-Saditev.;-Cobol inženirstvo.;-Predstavitev moje podzavesti.
Je možna?;Je mogoča?;Kakšna je bila v resničnosti?;Lahko to storite?
-Jasno, da ni.;-Jasno, da ni.;-Nikakor.;-Ne, ne.
Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vsadil?;Če nekomu iz uma idejo lahko ukradeš, zakaj mu je ne bi namesto tega vstavil?;Če so to moje sanje, zakaj jih ne morem nadzorovati?;Grožnje v sanjanju so nesmiselne, kajne Mal?
"Takole; v glavo vam sadim idejo, rečem vam: »Ne mislite na slone«.";Takole, v glavo vam dajem idejo, rečem vam: »Ne mislite na slone«.;A ideja ni vaša, ker veste, da sem vam jo dal jaz.;No, pa saj veste o čem govorim.
O čem razmišljate?;O čem razmišljate?;Kako to mislite?;Govorite o izvlačenju?
-O slonih.;-O slonih.;-Motiš se.;-Da, labirint.
Točno.;Točno.;Ja, mislim da.;Da.
A ideja ni vaša, ker veste, da sem vam jo dal jaz.;A ideja ni vaša, ker veste, da sem vam jo dal jaz.;Da vsa stvar funkcionira, me morate povsem spustiti noter.;Torej me na mojem cilju lahko spustite ven.
Osebkov um vedno izsledi izvor ideje.;Osebkov um vedno izsledi izvor ideje.;Ko ideja zavzame možgane, jo je skoraj nemogoče zatreti.;Najti moramo način, da idejo pretvorimo v emocionalni koncept.
Prave inspiracije ni možno poneveriti.;Pravega navdiha ni možno poneveriti.;Enostavno, majhno idejo, ki bo prav vse spremenila.;Izplača se poizkusiti.
-Ni res.;-Ni res.;-Saj res.;-No ja, ne bo držalo.
Ste zmožen tega?;Ste zmožen tega?;Ste to že počeli?;Niste resničen?
-Mi dajete izbiro?;-Mi dajete izbiro?;-Kako to naredim?;-Me zato rabiš za gradnjo svojih sanj?
Ker s Cobolom lahko uredim na svoj način.;Ker s Cobolom lahko uredim na svoj način.;To pomeni, da ga moram najti.;Delam pač, kar znam.
Torej imate izbiro.;Torej imate izbiro.;Poskusite.;Imate, po kar ste prišli.
-In izbral sem, da odidem.;-In izbral sem, da odidem.;-Obljubil sem Mal.;-Skušal sem te rešiti.
Povejte posadki, kam želite iti.;Povejte posadki, kam želite iti.;Le se vrnite se pred trzajem.;Opravili bomo posel pred naslednjim trzajem.
Ej, gospod Cobb!;Ej, gospod Cobb!;Pridi, Fischer!;Ah, Arthur.
Kako bi vam prijalo oditi domov?;Kaj počnete v Mombasi?;Kaj pravite na brhko damo, ki sem jo že koristil?;Kakšna je potem ideja, ki bi jo rad vsadil?
V Ameriko?;V Ameriko?;K svojima otrokoma?;Tam zunaj?
K svojima otrokoma?;K svojima otrokoma?;V Ameriko?;Tam zunaj?
-Tega ne morete urediti!;-Tega ne morete urediti!;-Ne morete.;-Skušali so vas uspavati.
