 Tole je moj otročiček.; Jaz sem Trudy. Znanstvena plovila pilotiram. Tole je moj srček.
 Ob devetih odrinemo. -Saj delam, kapitan.; Ob 9.00 gremo. –Razumem, kapitan.
 Še vedno ni pritrjen. -Težko opremo imate na krovu.; Scorpion 2H, Peklenski stolp, imate dovoljenje za vzlet.
 To je zato, ker nismo edini, ki letamo naokrog.; Ker nismo edini, ki letijo tam okrog.
 Potrebujem pa te na orožju ob vratih, manjka mi član posadke.; Ampak če si tu, bi te rad opozoril.
 Mislil sem, da ne boš nikoli rekla.; Upal sem, da boš to rekel.
 Hoteli ste me videti, polkovnik?; Ste me iskali, polkovnik?
 Če oslabiš te bo Pandora ubila brez vsakega opozorila.; In če oslabiš, te Pandora brez opozorila ubije.
 Pogledal sem tvojo kartoteko, desetar.; Videl sem tvojo kartoteko.
 Venezuela, to je bilo grdo okolje.; Ampak to je bila le teorija.
 Ampak ne kot to tukaj.; Ampak ne tako kot tu.
 Imaš pa kar nekaj poguma, da si prišel v to soseščino.; Zdaj pa je čas, da se vrneš.
 To je samo še ena peklenska luknja. -Sam sem bil najprej izvidnik.; Sprva sem samo ubogal ukaz.
 Nekaj let pred teboj, morda več kot samo nekaj let.; Nekaj let pred tabo. Ali pa več.
 Trikrat sem bil v Nigeriji pa nisem dobil niti praske.; Če bi bil na pripravah, bi to vedel.
 Potem sem prišel sem in prvi dan sem bil kot oskuben piščanec.; Ko pa sem prišel sem … Že prvi dan. Počutil sem se kot bedak.
 To mi lahko popravijo, ko se bom vračal nazaj.; Lahko se bom dogovoril o selitvi.
 Ampak veš kaj, na nek način mi je všeč.; Da bi bil spet lep. Ampak všeč mi je tako.
 Vsak dan me opominja, kaj me pričakuje zunaj.; Opominja me na to, kaj je tam zunaj.
 Program avatar je samo slaba šala.; To je moj zadnji video dnevnik.
 Izvidnik v telesu avatarja.; Izvidnik v avatarskem telesu. Močna kombinacija.
 Tak marinec bi mi lahko priskrbel podatke s terena, ki jih potrebujem.; Tak marinec bi lahko pridobil informacije na terenu.
 Sully, hočem, da proučiš te divjake od znotraj, hočem, da si pridobiš njihovo zaupanje.; Ampak če si tu, bi te rad opozoril.
 Hočem jih prisiliti v sodelovanje ali pa uničiti, če ne bodo hoteli.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Hodil boš naokrog, kot se ji bo zahotelo, kvakal kot znanstvenik, poročal pa boš meni.; Če se boš izkazal, ti bom priskrbel noge.
 Lahko to narediš zame, sinko?; Boš naredil to zame?
 Seveda, gospod.; Zveni dobro, gospod.
 Potem je v redu.; V redu.
 Sinko, jaz poskrbim za svoje.; Jaz poskrbim za svoje ljudi.
 Priskrbi mi, kar potrebujem, pa bom poskrbel, da dobiš nazaj svoje noge, ko boš šel domov.; Če se boš izkazal, ti bom priskrbel noge.
 Resnične noge.; Prave noge.
 To je slišati krasno, gospod.; Zveni dobro, gospod.
 Usta drži zaprta in pusti Norma, da bo govoril.; Iti mora skozi Eywino oko in se vrniti.
 V redu, gremo.; V redu, grem.
 Ugasni ga, nekaj časa bomo tukaj.; Ugasni motorje. Nekaj časa bomo ostali.
 Ostani pri letalu.; Ostani pri ladji. En tepec s puško je dovolj.
 En bedak s puško je dovolj.; Kdo je nevaren? Tako je.
 Prolemurji, niso napadalni.; Prolemurji. Niso napadalni.
 Sprosti se, marinec, delaš me živčno.; Pomiri se. Živčno me delaš.
 Kako bodo vedeli, da smo tukaj? -Prepričana sem, da nas že opazujejo.; Gotovo nas že opazujejo.
 To je prenos podatkov iz te korenine v korenino sosednjega drevesa.; To je več povezav kot v človeških možganih.
 Morali bi vzeti vzorec.; Morali bi videti svoje obraze.
 Glede na hitrost reakcije je verjetno električno.; Po hitrosti sodeč je električno.
 Norm, vzorec si okužil s svojo slino.; Zdaj si sin Omaticaye.
 Ne streljaj, samo razjezil ga boš.; Ne streljaj. Ne streljaj! Razdražil ga boš.
 Je že jezen.; Je že razdražen.
 Jake, oklep ima predebel, kar zaupaj mi.; Predebel oklep ima. Verjemi mi.
 Samo svoje ozemlje brani, ne beži, ker te bo napadel.; Samo hvala bi ti rekel, ker si jih pobila.
 Kaj pa naj naredim? Naj zapleševa?; Kako je pa s tem? Naj tečem ali ne?
 Kdo je zloben? Tako je prav.; Kdo je nevaren? Tako je.
 O tem ti govorim, prasec.; Saj ti je že.
 Tako je prav, beži nazaj k mami.; Tako je. Steci nazaj k mamici.
 Ničesar nimaš, kar beži. Drugič pripelji še kaj prijateljev.; In pripelji še prijatelje.
 Kaj pa naj s tem? Naj bežim ali ne, kaj?; Kako je pa s tem? Naj tečem ali ne?
 Prenehati moramo, ponoči ne smemo ostati zunaj.; Ponoči ne smemo biti zunaj.
 Oprostite, doktorica, moral bo počakati do jutri.; Žal mi je. Počakati bo moral to jutra.
 Do jutri ne bo preživel.; Ne bo preživel.
 Nimam časa celo prekleto noč.; Nimam časa vso noč.
 Vem, da me verjetno ne razumeš.; Saj ne misliš resno.
 To je res naredilo vtis.; To je bilo enkratno.
 Z menoj bi bilo konec, če ne bi prišla zraven.; Če ne bi prišla, bi bilo po meni.
 Hotel sem se ti samo zahvaliti, da si pobila te stvore...; Samo hvala bi ti rekel, ker si jih pobila.
 Ne zahvaljuj se.; Ne napadaj.
 Za to se ne zahvaljuj.; Za to ne rečeš hvala.
 To je žalostno.; To je dejstvo.
 Samo zelo žalostno.; To je žalostno. Samo zelo žalostno.
 Prav, žal mi je.; V redu. Žal mi je.
 Karkoli sem že naredil, žal mi je.; Karkoli sem že naredil, mi je žal.
 Za vse to si ti kriv, ne bi jim bilo treba umreti.; Ti si kriv. Ne bi jim bilo treba umreti.
 Jaz sem kriv? Oni so napadli mene, kako to, da sem zdaj jaz zlobnež?; Jaz sem kriv? Zakaj? Oni so napadli.
 Ti si kriv! -Počasi.; Ti si kriv. –Počasi.
 Si kot majhen otrok, tako glasen, ne veš, kaj bi naredil.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
 Če imaš tako rada svoje majhne gozdne prijateljčke, zakaj jih nisi potem pustila, da bi me ubili?; Če imaš tako rada svoje gozdne prijatelje, zakaj nisi pustila, da me ubijejo?
 Kaj si mislila?; Kaj pa si?
 Zakaj sem te rešila? -Zakaj si me rešila.; Zakaj sem te rešila? –Ja. Zakaj si me rešila?
 Ampak neumen, neveden kot otrok.; Ampak neumen. Neveden kot otrok.
 Če sem kot otrok bi me lahko morda učila.; Če sem kot otrok, bi me morala podučiti.
 Ljudje iz nebes se ne morejo učiti, ne vidijo. -Nauči me, kako videti.; Drugič se rodiš, ko si prislužiš prostor v ljudstvu za vedno.
 Nihče te ne more naučiti videti.; Ljudje z neba se ne morejo naučiti, ker ne vidijo.
 Kje si se naučila našega jezika?; Kje si se naučila angleško? V šoli dr. Augustinove?
 V šoli dr. Augustine?; Kje si se naučila angleško? V šoli dr. Augustinove?
 Kot otrok si.; Kot otrok si. Hrup delaš, ne veš, kaj bi.
 Potrebujem tvojo pomoč.; Vendar potrebujem pomoč.
 Ne bi smel biti tukaj.; Ampak če si tu, bi te rad opozoril.
 Prav, vzemi me s seboj. -Ne, pojdi nazaj.; Pa me vzemi s sabo. –Ne. Pojdi nazaj.
 Kaj je to?; Kaj je bilo to?
 Pomirite se ljudje, pomirite!; Odklopili se bodo!
 Ta demon ne bi smel biti tukaj.; Naj danes nihče ne umre. V poročilu ne bi bilo lepo.
 Videla sem znak.; Sprva sem samo ubogal ukaz.
 Tsahik se mora odločiti.; Tsahik naj odloči.
 Ta stvor... zakaj si ga pripeljala sem?; To bitje … Zakaj si ga pripeljala sem?
 Hotela sem ga ubiti, potem pa sem videla Eywin znak.; Hotela sem ga ubiti, toda Eywa je poslala znamenje.
 Rekel sem, da ne sme sem noben nočni popotnik.; Rekel sem, da sanjehodci ne smejo sem.
 Nos se mi obrača od njegovega smradu.; Poln nos njegovega vonja imam.
 Moj oče se odloča, če te naj ubije ali ne.; Oče se odloča, ali naj te ubije.
 Veseli me, da sem vas spoznal, gospod.; Tvoj oče. Me veseli, gospod.
 Umakni se!; Poberi se!
 Če je bil znak duhov potem o tem odločam jaz.; Če to storim, bom eden od njih.
 Zakaj si prišel k nam?; Zakaj bi nam pomagali?
 Prišel sem se učit.; Zaljubil sem se.
 Poskusili smo učiti ostale ljudi z nebes.; Ljudi z neba smo poskusili učiti.
 Težko je napolniti skodelico, ki je že polna.; Težko je napolniti čašo, ki je že polna.
 Vprašaj dr. Augustine, jaz nisem znanstvenik.; Vprašajte dr. Augustinovo. Nisem znanstvenik.
 Bil sem marinec.; Bil sem svoboden.
 Bojevnik in član vojnega klana.; Bojevnik iz klana marincev.
 On je bojevnik? Zlahka bi ga ubil.; Zlahka bi ga ubil. Ne!
 To je prvi bojevnik, ki smo ga srečali med vsemi prišleki.; To je prvi bojevnik sanjehodcev, ki ga vidimo.
 učila ga boš o našem življenju, da bo govoril in se obnašal kot mi.; Hčerka, ti ga boš učila naših navad.
 Zakaj jaz? Ni pošteno. -Odločila sem se!; Pomirite se! –Ne, prosim.
 Odločeno je.; V redu je.
 Moja hčerka te bo učila o našem življenju.; Odločeno je. Moja hči te bo učila naših navad.
 Dobro se uči, Jake Sully.; Dobro se uči, Jakesully.
 Tukaj si.; Pripravljen si.
 Govoril si kot navit.; Presneto! Držal si se kot klop.
 Zadnje, kar smo videli, je bila rit tega marinca, kako izginja med grmovjem, medtem ko ga lovi lačen thanator.; Videli smo samo, kako je ta marinec izginil v grmovju, ko ga je lovil razdražen thanator.
 Iz vzrokov, ki jih nikakor ne razumem so te sprejeli Omaticaya.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.
 Bog naj nam pomaga.; Iz neznanega razloga so Omaticayi izbrali tebe. Bog se nas usmili.
 Hočejo me proučevati, moram se naučiti, da bom eden izmed njih.; Preučevali me bodo. Postal bom eden od njih.
 Sully, ti samo ugotovi, kaj te modre opice hočejo.; Sully, spoznaj te divjake, pridobi njihovo zaupanje.
 Poskusili smo jim dati medicino, izobrazbo, ceste, ampak ne, njim je všeč blato.; Hoteli smo jim dati zdravila, izobrazbo, ceste … Ampak ne. Raje imajo blato.
 Mene to ne moti, je pa tako, da so...; Tako se to dela.
 Bi lahko kdo...? Sektor dvanajst.; To me ne bi motilo, če ne bi bili … Lahko kdo … Sektor 12.
 Ustavi. To je genialno.; Avatarski program je bedarija. Trop nesposobnih znanstvenikov.
 Poglej si to zalogo.; Poglej to sveže meso.
 Kdo jih bo spravil proč? -Ugibaj.; Kdo jih bo preselil? –Ugani.
 Kaj pa, če ne bodo hoteli proč?; Kako bodo vedeli, da smo tu?
 To je slabo poročilo o poslovanju. Nisem si jaz izmislil pravil.; Ubijati domorodce ni lepo, ampak delničarji še bolj kot slabo publiciteto sovražijo slabo četrtletno poročilo. Nisem jaz pisal pravil.
 Zato mi najdi korenček, ki jih bo spravil proč.; Najdi korenček, ki jih bo zvabil stran.
 Tri mesece časa imaš, potem pridejo tja buldožerji.; Tri mesece imaš. Potem pridejo buldožerji.
 Všeč mi je ta fant.; Všeč mi je.
 Prav, poglejmo še enkrat.; Poskusimo še enkrat.
 On bo naslednji vodja klana.; Tsu'tey. –Bodoči vodja klana.
 Ta dva se bosta poročila.; Čez nekaj ur bosta zunaj.
 Kdo pa je Eywa? -Kdo je Eywa?; Kdo je Eywa?
 Samo njihovo božanstvo, boginja, ki je ustvarila vsa živa bitja, vse, kar poznajo. To bi vedel, če bi imel vsaj malo treninga.;" Ni samo ""vidim te pred sabo"", ampak ""Vidim vate."" Dobro je, da je z nami, ampak tudi zanj sem skxawng."
 Kdo pa gre na zmenek s poglavarjevo hčerko?; Kdo ima zmenek s poglavarjevo hčerko?
 Gremo, v vasi zgodaj vstajajo.; Pojdimo, vas se zgodaj prebudi.
 Ne naredi česa izjemno neumnega.; Ne stori ničesar izjemno neumnega.
 Mirno, dekle.; Mirno, fant.
 Občuti jo.; Začuti jo.
 Občuti njene močne noge.; Njene močne noge.
 Lahko ji poveš, kaj naj naredi, v glavi.; Lahko ji ukažeš, kaj naj dela.
 Zdaj ji povej, naj gre naprej.; Za zdaj ji povej, kam naj gre.
 Vedel sem, da govoriš naš jezik.; Vedel sem, da znaš angleško.
 Čas izgubljaš z njim, še kamen bi se prej naučil.; Z Neytiri se moraš hitro učiti, drugače umreš.
 Če boste hoteli to zadevo napasti, ne bo enostavno.; Če jih boste hoteli napasti, ne bo lahko.
 Vaše skeniranje ne pokaže notranje strukture.; Slika ne kaže notranje zgradbe.
 Tukaj je zunanja vrsta zelo močnih stebrov.; Tu je deset na dvanajsto dreves.
 Tam je še drug obroč in še eden notranji.; Mislim, da je drugi obroč nosilen.
 Potrebovali bomo natančne podatke o vsakem stebru.; Natančne slike bomo potrebovali.
 Kaj nam še lahko poveš o strukturi?; Kaj še lahko poveš o zgradbi?
 Domnevam, da je ta drug obroč nosilni.; Mislim, da je drugi obroč nosilen.
 Ne bom dovolila, da Selfridge in Quaritch vodita celotno zadevo.; Ne dovolim, da se Selfridge in Quaritch vmešavata.
 Na položaju 26 je prenosna postaja, delamo lahko tam, visoko v planinah.; Delali bomo z mobilnim linkom na lokaciji 26, v gorah.
 V planinah Aleluja?; V gorovju Aleluja?
 Ja. -Ja!; Ja. –To!
 Legendarne lebdeče planine Pandore, nisi še slišal za njih?; Legendarne plavajoče gore. Si slišal zanje?
 Ja, poglej moje naprave.; Poglej moje instrumente.
 Zdaj smo na VFR. -Kaj je VFR?; Kakšna logika je to?
 Pomeni, da moraš videti kam greš.; Toda prej ali slej se moraš zbuditi.
 O moj bog...; O bog.
 Hvala, da ste leteli z družbo Pandora.; Hvala, ker ste leteli z Air Pandoro.
 Dobrodošli v tabor.; Dobrodošli v taboru.
 To je moja omarica. -Ta stvar je grozna.; To je nevarno. –Super je.
 Grace ni nič ušlo.; Nihče mu ni nič mogel.
 Vedela je, da sem govoril s polkovnikom.; Vedela je, da govorim s polkovnikom.
 Ampak jaz sem imel to, kar je potrebovala, pot nazaj v klan.; Ampak tudi ta ženska mora izbrati mene.
